candidate,family,description,behavior,n,ann_ret,sharpe,t_ret,lambda_ann_fmb,t_fmb,lambda_ann_gx_obs,t_gx_obs,lambda_ann_gx_full,t_gx_full,k_hidden,max_abs_corr_to_09,nearest_09_factor,passes_t2,passes_t165
price_to_low_2w__high_minus_low,price,"price_to_low_2w, high minus low",distance from recent low; rebound anchoring,263,0.5195171848382247,1.4891566630670687,2.67396103795187,1.5503843429327513,2.3924426159672687,0.5276132263805088,3.106994195432728,0.2960730889040784,1.330690466535031,2,0.6389201041295516,RMOM1w,False,False
price_to_low_2w__low_minus_high,price,"price_to_low_2w, low minus high",distance from recent low; rebound anchoring,263,-0.5195171848382247,-1.4891566630670687,-2.67396103795187,-1.5503843429327513,-2.3924426159672687,-0.5276132263805088,-3.106994195432728,-0.2960730889040784,-1.330690466535031,2,0.6389201041295516,RMOM1w,False,False
mcap_chg_26w__high_minus_low,mcap,"mcap_chg_26w, high minus low",underreaction or reversal to recent performance,263,-0.11039563018832024,-0.24785460467458179,-0.6881812086899403,-0.7061462753926011,-0.8540574951165198,-0.1414453320224311,-0.3504393985170566,-0.6156031020993471,-1.2964833339330728,2,0.37261748782961573,SMBC,False,False
mcap_chg_26w__low_minus_high,mcap,"mcap_chg_26w, low minus high",underreaction or reversal to recent performance,263,0.11039563018832024,0.24785460467458179,0.6881812086899403,0.7061462753926011,0.8540574951165198,0.1414453320224311,0.3504393985170566,0.6156031020993471,1.2964833339330728,2,0.37261748782961573,SMBC,False,False
corr_mkt_8w__high_minus_low,corr,"corr_mkt_8w, high minus low",high market crowding/herding,255,0.08506473726121935,0.2370440406157025,0.5322175593845077,0.18957553217108652,0.28829123599970463,0.137943648298003,0.863145747730403,0.4364510276786183,1.2930273561026506,2,0.18089775916997908,RMOM4w,False,False
corr_mkt_8w__low_minus_high,corr,"corr_mkt_8w, low minus high",low market crowding/herding,255,-0.08506473726121935,-0.2370440406157025,-0.5322175593845077,-0.18957553217108652,-0.28829123599970463,-0.137943648298003,-0.863145747730403,-0.4364510276786183,-1.2930273561026506,2,0.18089775916997908,RMOM4w,False,False
minret_2w__low_minus_high,minret,"minret_2w, low minus high",capitulation/crash rebound,263,-0.20947045094233757,-0.5371409370156465,-1.11693711810469,-0.5905462358171407,-1.2167913287758967,0.362357291192057,0.7442249807986938,0.670542346805786,1.2561151032110065,2,0.5150890409125085,MomC,False,False
minret_2w__high_minus_low,minret,"minret_2w, high minus low",crash resilience,263,0.20947045094233757,0.5371409370156465,1.11693711810469,0.5905462358171407,1.2167913287758967,-0.362357291192057,-0.7442249807986938,-0.670542346805786,-1.2561151032110065,2,0.5150890409125085,MomC,False,False
upfreq_12w__low_minus_high,upfreq,"upfreq_12w, low minus high",trend consistency and representativeness,263,-0.12265162463219723,-0.3082831489655249,-0.6345335182552957,0.4849620935794205,0.9883903203083978,0.9611253745131066,4.318755817028741,0.48775501194165166,1.235188026646728,2,0.39220143076741837,NetRel,False,False
upfreq_12w__high_minus_low,upfreq,"upfreq_12w, high minus low",trend consistency and representativeness,263,0.12265162463219723,0.3082831489655249,0.6345335182552957,-0.4849620935794205,-0.9883903203083978,-0.9611253745131066,-4.318755817028741,-0.48775501194165166,-1.235188026646728,2,0.39220143076741837,NetRel,False,False
corr_mkt_12w__high_minus_low,corr,"corr_mkt_12w, high minus low",high market crowding/herding,251,-0.0339251366416811,-0.09916642275183302,-0.23188766390989352,0.3075933589391029,0.5769558240718698,-0.2639153484300548,-1.3102789760230706,-0.3188991298636564,-1.2337211544302822,2,0.16142577182096637,RMOM4w,False,False
