week,symbol,cluster_id,w_fast,w_slow,w
2018-09-10,ADA,,0.0,0.0,0.0
2018-09-10,BNB,,0.0,-0.05,-0.012
2018-09-10,BTC,,0.05,-0.05,0.015999999999999997
2018-09-10,ETC,,0.05,0.05,0.04
2018-09-10,ETH,,-0.05,0.0,-0.027999999999999997
2018-09-10,LTC,,-0.05,-0.05,-0.04
2018-09-10,TRX,,0.0,0.05,0.012
2018-09-10,VET,,-0.05,0.0,-0.027999999999999997
2018-09-10,XLM,,0.0,0.0,0.0
2018-09-10,XRP,,0.05,0.05,0.04
2018-09-17,ADA,,-0.05,0.05,-0.015999999999999997
2018-09-17,BNB,,0.05,-0.05,0.015999999999999997
2018-09-17,BTC,,0.05,-0.05,0.015999999999999997
2018-09-17,ETC,,0.05,0.0,0.027999999999999997
2018-09-17,ETH,,0.0,0.0,0.0
2018-09-17,LTC,,0.0,-0.05,-0.012
2018-09-17,TRX,,0.0,0.0,0.0
2018-09-17,VET,,0.0,0.05,0.012
2018-09-17,XLM,,-0.05,0.0,-0.027999999999999997
2018-09-17,XRP,,-0.05,0.05,-0.015999999999999997
2018-09-24,ADA,,-0.05,0.05,-0.015999999999999997
2018-09-24,BNB,,0.0,-0.05,-0.012
2018-09-24,BTC,,0.05,-0.05,0.015999999999999997
2018-09-24,ETC,,0.05,0.0,0.027999999999999997
2018-09-24,ETH,,0.0,0.0,0.0
2018-09-24,LTC,,0.0,-0.05,-0.012
2018-09-24,TRX,,0.0,0.0,0.0
2018-09-24,VET,,0.05,0.05,0.04
2018-09-24,XLM,,-0.05,0.0,-0.027999999999999997
2018-09-24,XRP,,-0.05,0.05,-0.015999999999999997
2018-10-01,ADA,,-0.05,0.05,-0.015999999999999997
2018-10-01,BNB,,0.0,-0.05,-0.012
2018-10-01,BTC,,0.05,-0.05,0.015999999999999997
2018-10-01,ETC,,0.05,0.0,0.027999999999999997
2018-10-01,ETH,,0.0,0.0,0.0
2018-10-01,LTC,,0.0,-0.05,-0.012
2018-10-01,TRX,,0.0,0.0,0.0
2018-10-01,VET,,0.05,0.05,0.04
2018-10-01,XLM,,-0.05,0.0,-0.027999999999999997
2018-10-01,XRP,,-0.05,0.05,-0.015999999999999997
2018-10-08,ADA,,-0.05,0.05,-0.015999999999999997
2018-10-08,BNB,,0.0,-0.05,-0.012
2018-10-08,BTC,,0.05,-0.05,0.015999999999999997
2018-10-08,ETC,,0.05,0.0,0.027999999999999997
2018-10-08,ETH,,0.0,0.0,0.0
2018-10-08,LTC,,0.0,-0.05,-0.012
2018-10-08,TRX,,0.0,0.0,0.0
2018-10-08,VET,,0.05,0.05,0.04
2018-10-08,XLM,,-0.05,0.0,-0.027999999999999997
2018-10-08,XRP,,-0.05,0.05,-0.015999999999999997
2018-10-15,ADA,,0.0,0.05,0.012
2018-10-15,BNB,,0.0,-0.05,-0.012
2018-10-15,BTC,,0.05,-0.05,0.015999999999999997
2018-10-15,ETC,,0.0,-0.05,-0.012
2018-10-15,ETH,,0.0,0.05,0.012
2018-10-15,LTC,,0.05,0.0,0.027999999999999997
2018-10-15,TRX,,-0.05,0.0,-0.027999999999999997
2018-10-15,VET,,0.05,0.0,0.027999999999999997
2018-10-15,XLM,,-0.05,0.0,-0.027999999999999997
2018-10-15,XRP,,-0.05,0.05,-0.015999999999999997
2018-10-22,ADA,,0.0,0.05,0.012
