week,factor,ic
2018-12-24,SKEW52,
2018-12-24,TVLC,
2018-12-31,VOLC,0.19999999999999998
2018-12-31,MAXRET,0.19999999999999998
2018-12-31,CRASH8,-0.01818181818181818
2018-12-31,BETA26,-0.01818181818181818
2018-12-31,NEWC,0.15853953266296708
2018-12-31,SKEW52,
2018-12-31,TVLC,
2019-01-07,VOLC,-0.34545454545454546
2019-01-07,MAXRET,-0.3939393939393939
2019-01-07,CRASH8,0.33333333333333326
2019-01-07,BETA26,0.28484848484848485
2019-01-07,NEWC,-0.018293022999573125
2019-01-07,SKEW52,
2019-01-07,TVLC,
2019-01-14,VOLC,-0.07878787878787878
2019-01-14,MAXRET,-0.5757575757575757
2019-01-14,CRASH8,-0.6848484848484848
2019-01-14,BETA26,-0.1515151515151515
2019-01-14,NEWC,0.10366046366424772
2019-01-14,SKEW52,
2019-01-14,TVLC,
2019-01-21,VOLC,-0.07878787878787878
2019-01-21,MAXRET,-0.07878787878787878
2019-01-21,CRASH8,0.04242424242424241
2019-01-21,BETA26,-0.3939393939393939
2019-01-21,NEWC,-0.6666736168667458
2019-01-21,SKEW52,-0.07878787878787878
2019-01-21,TVLC,
2019-01-28,VOLC,-0.4424242424242424
2019-01-28,MAXRET,-0.16363636363636364
2019-01-28,CRASH8,0.33333333333333326
2019-01-28,BETA26,-0.38181818181818183
2019-01-28,NEWC,-0.41096318847950086
2019-01-28,SKEW52,0.34545454545454546
2019-01-28,TVLC,
2019-02-04,VOLC,0.19999999999999998
2019-02-04,MAXRET,0.12727272727272726
2019-02-04,CRASH8,0.22424242424242422
2019-02-04,BETA26,-0.24848484848484845
2019-02-04,NEWC,0.022831288248861156
2019-02-04,SKEW52,0.5151515151515151
2019-02-04,TVLC,
2019-02-11,VOLC,0.09090909090909091
2019-02-11,MAXRET,0.17272727272727276
2019-02-11,CRASH8,-0.2606060606060606
2019-02-11,BETA26,-0.43030303030303024
2019-02-11,NEWC,-0.40183067317995635
2019-02-11,SKEW52,0.11515151515151514
2019-02-11,TVLC,
2019-02-18,VOLC,-0.33636363636363636
2019-02-18,MAXRET,-0.36363636363636365
