week,pnl_gross,turnover,cost,pnl_net,gross_exposure
2018-06-18,-0.0007634445365166736,0.08399999999999999,8.399999999999998e-05,-0.0008474445365166736,0.16799999999999998
2018-06-25,0.003959178445913117,0.055999999999999994,5.599999999999999e-05,0.003903178445913117,0.19199999999999998
2018-07-02,-0.0012780667539765364,0.045,4.4999999999999996e-05,-0.0013230667539765363,0.126
2018-07-09,-0.009097094275760683,0.063,6.3e-05,-0.009160094275760684,0.12599999999999997
2018-07-16,0.0002789165141635373,0.020999999999999998,2.0999999999999995e-05,0.00025791651416353734,0.10799999999999998
2018-07-23,0.0004436539477755187,0.068,6.8e-05,0.00037565394777551865,0.19199999999999998
2018-07-30,-0.010357890860246575,0.063,6.3e-05,-0.010420890860246576,0.12599999999999997
2018-08-06,0.0026651404525150197,0.056999999999999995,5.6999999999999996e-05,0.0026081404525150195,0.16799999999999998
2018-08-13,-0.005001120602348074,0.08099999999999999,8.099999999999998e-05,-0.005082120602348074,0.162
2018-08-20,-0.0024557755068250653,0.08600000000000001,8.6e-05,-0.0025417755068250654,0.19199999999999998
2018-08-27,-0.0012818757162035973,0.066,6.6e-05,-0.0013478757162035974,0.126
2018-09-03,0.003393820106142274,0.041999999999999996,4.199999999999999e-05,0.003351820106142274,0.144
2018-09-10,0.025034790429761013,0.041999999999999996,4.199999999999999e-05,0.024992790429761012,0.162
2018-09-17,0.00045205250865776786,0.08099999999999999,8.099999999999998e-05,0.0003710525086577679,0.126
2018-09-24,0.004555818078841192,0.069,6.900000000000001e-05,0.004486818078841192,0.23999999999999996
2018-10-01,0.0019466975869946918,0.023999999999999994,2.3999999999999994e-05,0.001922697586994692,0.19199999999999998
2018-10-08,-0.007520835447638315,0.0,0.0,-0.007520835447638315,0.19199999999999998
2018-10-15,3.738295582178853e-05,0.07999999999999999,7.999999999999998e-05,-4.261704417821145e-05,0.19199999999999998
2018-10-22,0.0003075456572095255,0.024,2.4e-05,0.0002835456572095255,0.144
