week,csd,btc_dom,dbtc_dom,csd_z,dbtc_z,rs,label,gross
2017-08-14,,0.7064239162128456,,,,,Neutral,0.8
2017-08-21,0.07719921716861693,0.6881619647589838,,,,,Neutral,0.8
2017-08-28,0.04557788654696181,0.6966531220398395,,,,,Neutral,0.8
2017-09-04,0.040479760052407825,0.7123798164738497,,,,,Neutral,0.8
2017-09-11,0.012931799142575761,0.7145123778578041,0.008088461644958467,,,,Neutral,0.8
2017-09-18,0.07476646910094936,0.693187240078614,0.005025275319630151,,,,Neutral,0.8
2017-09-25,0.08376570377529059,0.7167057947659147,0.020052672726075138,,,,Neutral,0.8
2017-10-02,0.025670511021922533,0.72258411096125,0.010204294487400234,,,,Neutral,0.8
2017-10-09,0.10193490656718313,0.7478525971495377,0.033340219291733586,,,,Neutral,0.8
2017-10-16,0.12214052823889687,0.7803367423114834,0.08714950223286944,,,,Neutral,0.8
2017-10-23,0.0008404412281125735,0.7798110769386726,0.0631052821727579,,,,Neutral,0.8
2017-10-30,0.1566186798611748,0.8127002043963754,0.09011609343512539,,,,Neutral,0.8
2017-11-06,0.17090967098897747,0.7660074225743123,0.018154825424774645,1.7389591840706398,,,Neutral,0.8
2017-11-13,0.1596487161914207,0.7953707438761844,0.015034001564701027,1.3504124078702626,,,Neutral,0.8
2017-11-20,0.0952041476491608,0.7730744741642525,-0.0067366027744201196,0.21452833790698259,,,Neutral,0.8
2017-11-27,0.1340356654903349,0.8061403245060553,-0.006559879890320031,0.8657388426491371,-1.0240172287372238,,Neutral,0.8
2017-12-04,0.20453748180360132,0.8566743605396094,0.09066693796529712,1.8279735158127064,1.5721568688014314,0.9448780356931805,RiskOn,1.0
2017-12-11,0.5962477307109316,0.7836824507651177,-0.011688293111066783,3.4981863246934686,-1.1110432464277717,0.12790832350563752,Neutral,0.8
2017-12-18,0.08956494128709142,0.7402038654315616,-0.032870608732690876,-0.2453631993711158,-1.4834345821561894,2.30461478556062,RiskOn,1.0
2017-12-25,0.34391612148600215,0.7308743927954515,-0.0752659317106038,1.5315681289245642,-2.0711065146668397,0.6190356913925368,RiskOn,1.0
2018-01-01,0.46674694215295015,0.6849659791009716,-0.17170838143863787,2.0679938105023212,-2.807799938585089,1.8013373217957018,RiskOn,1.0
2018-01-08,0.17702043061242886,0.6062009696135714,-0.17748148115154627,0.17144503130719807,-2.3068057317252935,2.4378968745437053,RiskOn,1.0
2018-01-15,0.06978859248435298,0.6273140375396015,-0.11288982789196012,-0.5308668231402239,-1.342501061338643,1.2391253815162457,RiskOn,1.0
2018-01-22,0.09421243008517495,0.5981842106985001,-0.13269018209695138,-0.35574679800989306,-1.4627126286579202,0.40581711909920953,Neutral,0.8
2018-01-29,0.05912114119885553,0.6032630703634142,-0.08170290873755737,-0.5830966969983998,-0.7996919921713481,0.5534829153240135,RiskOn,1.0
2018-02-05,0.026081403929145548,0.6039840550505274,-0.002216914563043959,-0.7894550291624224,0.18686442459556998,0.10829764758647414,Neutral,0.8
2018-02-12,0.13151114786074805,0.6303603761402606,0.003046338600659171,-0.03938776407786497,0.24834829086792554,-0.48815972687899617,Neutral,0.8
2018-02-19,0.05985399221564061,0.6273893352946461,0.029205124596145993,-0.5458367231731932,0.5733798860661666,-0.14386802747289526,Neutral,0.8
2018-02-26,0.09730091639318082,0.6636500271270668,0.06038695676365258,-0.2654341497033454,0.9480198208335389,-0.5596083046196799,RiskOff,0.6
2018-03-05,0.03655172825068083,0.6609711222768178,0.05698706722629032,-0.7014780745829305,0.8719979217646989,-0.6067269852684422,RiskOff,0.6
2018-03-12,0.14658739078495014,0.6867869333360432,0.0564265571957826,0.1272297940059116,0.8370392154995016,-0.7867379981738147,RiskOff,0.6
2018-03-19,0.21569579507988362,0.6947304499455567,0.06734111465091053,0.6431544470234589,0.949224294698531,-0.35490471074679497,Neutral,0.8
2018-03-26,0.0668136980871422,0.7155888001891744,0.05193877306210759,-0.501892443409195,0.7232359643722504,-0.15303492383753603,Neutral,0.8
2018-04-02,0.03232157787076164,0.7107816692736679,0.04981054699685017,-0.7543086380281726,0.6775865427054473,-0.6125642038907226,RiskOff,0.6
2018-04-09,0.110278641918839,0.6939234634254892,0.007136530089445925,-0.13604909859199144,0.0939033361791829,-0.71594759036681,RiskOff,0.6
2018-04-16,0.07634807880577298,0.6485491952200305,-0.046181254725526144,-0.4016580993143842,-0.6317142843841765,-0.11497621738558716,Neutral,0.8
2018-04-23,0.09513102802849666,0.6369721826166058,-0.07861661757256855,-0.24543058021393382,-1.0508196275168855,0.11502809253489618,Neutral,0.8
2018-04-30,0.09742926755815841,0.46647346978408744,-0.2443081994895805,-0.22334486583386973,-2.862591698035647,0.40269452365147584,Neutral,0.8
2018-05-07,0.0537623295701549,0.4721639374929616,-0.22175952593252757,-0.577610999768205,-2.3311495999344007,1.3196234161008886,RiskOn,1.0
2018-05-14,0.05181546404119132,0.47652604022058304,-0.17202315499944748,-0.5838431688619615,-1.6692889063827776,0.8767693000830978,RiskOn,1.0
2018-05-21,0.05124188161553574,0.48613399128279683,-0.150838191333809,-0.5789344490096469,-1.3774447363049502,0.542722868760408,RiskOn,1.0
2018-05-28,0.05504079447701066,0.4253382276254421,-0.041135242158645335,-0.537835161275504,-0.18000782609193214,0.3992551436476517,Neutral,0.8
2018-06-04,0.062343663555922545,0.436119441649001,-0.03604449584396058,-0.4678525312915264,-0.12223418868543974,-0.17891366759178595,Neutral,0.8
2018-06-11,0.09500549040825239,0.43173664511556864,-0.044789395105014396,-0.1805218259569005,-0.21720848265936576,-0.17280917130304332,Neutral,0.8
2018-06-18,0.07426452551730293,0.4467986568067602,-0.039335334476036654,-0.3591232643126846,-0.15354371350804832,0.018343328351232632,Neutral,0.8
2018-06-25,0.064670665175038,0.4573578278967784,0.032019600271336324,-0.43889950724343446,0.6532155597030553,-0.10278977540231814,Neutral,0.8
2018-07-02,0.04824594082479974,0.4581500362410276,0.02203059459202661,-0.5783595578718259,0.5299320911031339,-0.5460575334732449,RiskOff,0.6
2018-07-09,0.049137436053768496,0.45751106185947793,0.02577441674390929,-0.562318761664953,0.5649677721186743,-0.55414582448748,RiskOff,0.6
2018-07-16,0.10798496081687997,0.47936652391798074,0.03256786711122056,-0.02406902950287243,0.6346747934621301,-0.5636432668918137,RiskOff,0.6
2018-07-23,0.06001101159804132,0.4936900285127024,0.03633220061592396,-0.4616556759980948,0.6684839738132574,-0.3293719114825012,Neutral,0.8
2018-07-30,0.14291341617049522,0.48765501812722994,0.02950498188620232,0.3074381294892892,0.5789949299350812,-0.5650698249056761,RiskOff,0.6
2018-08-06,0.0913568530516332,0.5247210478910999,0.06720998603162193,-0.17568023986834358,1.008679592371962,-0.13577840022289597,Neutral,0.8
2018-08-13,0.20321064903032873,0.5236219858408412,0.04425546192286045,0.8715525922187156,0.7224625504755852,-0.5921799161201529,RiskOff,0.6
2018-08-20,0.05537983602488166,0.548245516049273,0.05455548753657058,-0.530702316746546,0.831988226687717,0.07454502087156523,Neutral,0.8
2018-08-27,0.03936264183275389,0.5517273112803043,0.06407229315307433,-0.6812506462180494,0.9293954793137591,-0.6813452717171316,RiskOff,0.6
2018-09-03,0.06257177500026351,0.577364294904357,0.05264324701325718,-0.46600238918114856,0.7790404586817745,-0.8053230627659043,RiskOff,0.6
2018-09-10,0.05559639125886432,0.5724646060900286,0.048842620249187396,-0.5434059786101533,0.7200901405767268,-0.6225214239314616,RiskOff,0.6
2018-09-17,0.3121905909825439,0.4816457618815531,-0.06659975416771985,1.8095817649279926,-0.6543491900990661,-0.63174805959344,RiskOff,0.6
2018-09-24,0.03232975298389276,0.48472439083509394,-0.06700292044521033,-0.7708715608082238,-0.6374231301874342,1.2319654775135294,RiskOn,1.0
2018-10-01,0.09700333601689373,0.5104344743957542,-0.06692982050860286,-0.18843206471637072,-0.6169105859761729,-0.0667242153103948,Neutral,0.8
2018-10-08,0.03324038301964977,0.536007317189768,-0.036457288900260565,-0.7636732649920848,-0.2371356056656676,0.21423926062990106,Neutral,0.8
2018-10-15,0.05367961166740079,0.5198071968153638,0.03816143493381069,-0.5611229305433278,0.6764998382171621,-0.2632688296632086,Neutral,0.8
2018-10-22,0.017494766140013853,0.5210853611048623,0.03636097026976831,-0.8996255639984201,0.664376465303816,-0.618811384380245,RiskOff,0.6
2018-10-29,0.023682203347450678,0.514260756695872,0.0038262823001178337,-0.8146910511083498,0.2928944814724453,-0.782001014651118,RiskOff,0.6
2018-11-05,0.06092847671479364,0.497345711787935,-0.038661605401833,-0.4537381696888665,-0.22068840904658255,-0.5537927662903975,RiskOff,0.6
2018-11-12,0.06981900052299948,0.482521359028733,-0.037285837786630804,-0.3564665599929064,-0.19141847828054614,-0.11652488032114197,Neutral,0.8
2018-11-19,0.04710651160973625,0.4915900085697456,-0.029495352535116648,-0.5551600445992712,-0.08909071514014168,-0.08252404085618012,Neutral,0.8
2018-11-26,0.06892424668667856,0.49960586247331074,-0.014654894222561277,-0.34345969298845536,0.09753034535807656,-0.23303466472956474,Neutral,0.8
2018-12-03,0.0603279741389099,0.5130694665490898,0.015723754761154785,-0.39941803260629277,0.502386535418009,-0.22049501917326597,Neutral,0.8
2018-12-10,0.0617657408206075,0.5163505169902751,0.03382915796154212,-0.3796244669389457,0.7171261475865288,-0.45090228401215093,Neutral,0.8
2018-12-17,0.12478871413697516,0.49327032831517964,0.0016803197454340335,0.3690171441111955,0.30323702795993596,-0.5483753072627373,RiskOff,0.6
2018-12-24,0.05647627074663196,0.4873231270880935,-0.012282735385217236,-0.4236555095709867,0.1125772842231187,0.03289005807562978,Neutral,0.8
2018-12-31,0.07152060846027532,0.4899893606697295,-0.023080105879360324,-0.1755893617640275,-0.0624900749480657,-0.2681163968970527,Neutral,0.8
2019-01-07,0.058553103522483656,0.5014348121348241,-0.014915704855451017,-0.38768827282986196,0.003863623075310877,-0.0565496434079809,Neutral,0.8
2019-01-14,0.05425411177219758,0.4968838769432701,0.003613548628090435,-0.46406606578432535,0.23194357841131433,-0.1957759479525864,Neutral,0.8
2019-01-21,0.09594119267247898,0.5055027702970198,0.018179643208926344,0.3386951219652913,0.4061437117738173,-0.34800482209781985,Neutral,0.8
2019-01-28,0.05163028354677205,0.5111759176230296,0.02118655695330013,-0.5117546066947228,0.4247090707340636,-0.033724294904263014,Neutral,0.8
2019-02-04,0.13390344427960138,0.5095862149378174,0.008151402802993313,1.0311600583732783,0.23251904343718396,-0.4682318387143932,Neutral,0.8
2019-02-11,0.040898274249874036,0.5089572026078464,0.012073325664576307,-0.7275039378683721,0.2867314395051524,0.39932050746804715,Neutral,0.8
2019-02-18,0.051078624816678214,0.5151167094815384,0.009613939184518583,-0.5267703651626133,0.2571037481940182,-0.5071176886867622,RiskOff,0.6
2019-02-25,0.051196376762754604,0.5066330818251128,-0.004542835797916811,-0.50676434631191,0.07023590546933772,-0.3919370566783158,Neutral,0.8
2019-03-04,0.1394553970430361,0.5021548085166241,-0.007431406421193332,1.147585594837979,0.04646549402924993,-0.2885001258906239,Neutral,0.8
2019-03-11,0.05605884384981333,0.4995175318019562,-0.009439670805890199,-0.4209711164144765,0.035831733919913074,0.5505600504043645,RiskOn,1.0
2019-03-18,0.09418244195338414,0.5021064859467549,-0.013010223534783538,0.39361007191197855,0.005603050085928257,-0.22840142516719478,Neutral,0.8
2019-03-25,0.04995180145159174,0.5004913478683369,-0.006141733956775863,-0.5250970406045041,0.12805656215896977,0.19400351091302515,Neutral,0.8
2019-04-01,0.148256187402844,0.5104654134060118,0.00831060488938773,1.4627522466361869,0.3648903933378632,-0.32657680138173695,Neutral,0.8
2019-04-08,0.045306878483936684,0.5289154955323147,0.029397963730358467,-0.6342395631605537,0.6818776434081827,0.5489309266491618,RiskOn,1.0
2019-04-15,0.10709556673961237,0.5392513166151298,0.03714483066837493,0.6256840744907346,0.7736725379983033,-0.6580586032843683,RiskOff,0.6
2019-04-22,0.08642246681039044,0.5622313521353768,0.06174000426703985,0.20455992086875827,1.1072403350167028,-0.07399423175378433,Neutral,0.8
2019-04-29,0.07138903779613893,0.5776787925967832,0.06721337919077142,-0.09451963782995633,1.2544086039780222,-0.45134020707397227,Neutral,0.8
2019-05-06,0.12627229823671118,0.6096463078149991,0.08073081228268442,0.9995866915051442,1.603169059915564,-0.6744641209039893,RiskOff,0.6
2019-05-13,0.16406389119406306,0.575487577442562,0.03623626082743214,1.68291620822492,0.7151932904063499,-0.30179118420520984,Neutral,0.8
2019-05-20,0.08921949728476927,0.5899987285346376,0.027767376399260857,0.1788830111220339,0.5105010956581808,0.48386145890928506,Neutral,0.8
2019-05-27,0.12851904856345805,0.5772558000484053,-0.00042299254837796507,0.9295344453232822,-0.2691534763619341,-0.16580904226807347,Neutral,0.8
2019-06-03,0.07517556755841956,0.5776740099715063,-0.03197229784349276,-0.13398771980242644,-1.1329069723351144,0.5993439608426081,RiskOn,1.0
2019-06-10,0.13457092249879,0.5870213523843943,0.011533774941832386,1.0208491076312634,0.02529692258430996,0.499459626266344,Neutral,0.8
2019-06-17,0.08907909117034533,0.5770285502829918,-0.012970178251645814,0.12029349543370431,-0.6829728553473297,0.4977760925234767,Neutral,0.8
2019-06-24,0.2607345900936834,0.6105738994210311,0.033318099372625865,3.0847339061074264,0.6275657879695011,0.40163317539051696,Neutral,0.8
2019-07-01,0.07891124752067617,0.6258867428495565,0.04821273287805017,-0.14983648853890177,1.0251808254143375,1.2285840590689627,RiskOn,1.0
2019-07-08,0.05550904365802967,0.6600471516621227,0.07302579927772834,-0.5695465954176969,1.6513861417354203,-0.5875086569766197,RiskOff,0.6
2019-07-15,0.0844320126208989,0.661781031277693,0.08475248099470123,-0.04576524093802272,1.8799685982761014,-1.1104663685765586,RiskOff,0.6
2019-07-22,0.04870611051041084,0.6574822156315874,0.046908316210556245,-0.6782455191585285,0.8715241898403352,-0.962866919607062,RiskOff,0.6
2019-07-29,0.08530754151780584,0.6802459774301175,0.05435923458056102,-0.0065197117567436045,1.0451632888476226,-0.7748848544994318,RiskOff,0.6
2019-08-05,0.06298833998045474,0.6953814777520172,0.03533432608989451,-0.39776613704070446,0.5744859149485589,-0.5258415003021831,RiskOff,0.6
2019-08-12,0.050499995490776946,0.6927187449400608,0.03093771366236775,-0.5947854433740327,0.4668882992732291,-0.4861260259946317,Neutral,0.8
