week,symbol,cluster_id,w_fast,w_slow,w
2018-06-18,ADA,,-0.05,0.05,-0.015999999999999997
2018-06-18,BNB,,-0.05,-0.05,-0.04
2018-06-18,BTC,,0.05,-0.05,0.015999999999999997
2018-06-18,ETC,,0.0,0.05,0.012
2018-06-18,ETH,,0.05,0.0,0.027999999999999997
2018-06-18,LTC,,0.05,-0.05,0.015999999999999997
2018-06-18,TRX,,0.0,0.05,0.012
2018-06-18,XLM,,0.0,0.0,0.0
2018-06-18,XRP,,-0.05,0.0,-0.027999999999999997
2018-06-25,ADA,,-0.05,0.05,-0.015999999999999997
2018-06-25,BNB,,-0.05,-0.05,-0.04
2018-06-25,BTC,,0.0,-0.05,-0.012
2018-06-25,ETC,,0.0,0.05,0.012
2018-06-25,ETH,,0.05,0.0,0.027999999999999997
2018-06-25,LTC,,0.05,-0.05,0.015999999999999997
2018-06-25,TRX,,0.0,0.05,0.012
2018-06-25,XLM,,-0.05,0.0,-0.027999999999999997
2018-06-25,XRP,,0.05,0.0,0.027999999999999997
2018-07-02,ADA,,-0.05,0.05,-0.011999999999999999
2018-07-02,BNB,,-0.05,-0.05,-0.029999999999999995
2018-07-02,BTC,,0.05,-0.05,0.011999999999999999
2018-07-02,ETC,,0.0,0.05,0.009
2018-07-02,ETH,,0.0,0.0,0.0
2018-07-02,LTC,,0.05,-0.05,0.011999999999999999
2018-07-02,TRX,,0.0,0.05,0.009
2018-07-02,XLM,,-0.05,0.0,-0.020999999999999998
2018-07-02,XRP,,0.05,0.0,0.020999999999999998
2018-07-09,ADA,,-0.05,0.05,-0.011999999999999999
2018-07-09,BNB,,0.05,-0.05,0.011999999999999999
2018-07-09,BTC,,0.0,-0.05,-0.009
2018-07-09,ETC,,-0.05,0.05,-0.011999999999999999
2018-07-09,ETH,,0.0,0.0,0.0
2018-07-09,LTC,,0.0,-0.05,-0.009
2018-07-09,TRX,,0.05,0.05,0.029999999999999995
2018-07-09,XLM,,-0.05,0.0,-0.020999999999999998
2018-07-09,XRP,,0.05,0.0,0.020999999999999998
2018-07-16,ADA,,-0.05,0.05,-0.011999999999999999
2018-07-16,BNB,,0.05,-0.05,0.011999999999999999
2018-07-16,BTC,,0.0,-0.05,-0.009
2018-07-16,ETC,,-0.05,0.05,-0.011999999999999999
2018-07-16,ETH,,0.0,0.0,0.0
2018-07-16,LTC,,0.05,-0.05,0.011999999999999999
2018-07-16,TRX,,0.0,0.05,0.009
