week,BTC,SPX,DXY,UST10Y,VIX
2017-01-02,,,,,
2017-01-09,,-0.0010276770107775501,-0.0030511324509187032,-0.020000000000000018,-0.08999999999999986
2017-01-16,,-0.001463967924594578,0.002795190035630668,0.08000000000000007,0.3099999999999987
2017-01-23,,0.010293619100871343,-0.01051993691587605,0.010000000000000231,-0.9599999999999991
2017-01-30,,0.0011897031843082218,-0.012364881890436275,0.0,0.39000000000000057
2017-02-06,,0.008130859834074577,0.00451542431237284,-0.08000000000000007,-0.120000000000001
2017-02-13,,0.015137515651310274,0.002199779591555595,0.009999999999999787,0.6400000000000006
2017-02-20,,0.00688170945405675,-0.005061703471115453,-0.10999999999999988,-0.019999999999999574
2017-02-27,,0.006665709192595903,0.007162327968135207,0.18000000000000016,-0.5099999999999998
2017-03-06,,-0.0044143811474034456,-0.00023833242744153438,0.08999999999999986,0.6999999999999993
2017-03-13,,0.002381353789092211,-0.011470981683473935,-0.08000000000000007,-0.3800000000000008
2017-03-20,,-0.014409755072006702,-0.005561324204121587,-0.10000000000000009,1.6800000000000015
2017-03-27,,0.007994948762361398,0.0013660487171702762,0.0,-0.5900000000000016
2017-04-03,,-0.00303887045439144,0.002272770829086612,-0.020000000000000018,0.5
2017-04-10,,-0.011288282092428936,-0.004501337190049526,-0.13999999999999968,3.0900000000000016
2017-04-17,,0.008475922626076215,0.002409705876190049,0.0,-1.33
2017-04-24,,0.015119066373169732,-0.00021861673959688854,0.04999999999999982,-3.8100000000000005
2017-05-01,,0.006329167016190018,-0.00013241836886712655,0.06999999999999984,-0.25
2017-05-08,,-0.0034968678233977535,-0.0002143370580931503,-0.029999999999999805,-0.16999999999999993
2017-05-15,,-0.003835375799908003,-0.009131321793252822,-0.10000000000000009,1.6399999999999988
2017-05-22,,0.01431312533326623,-0.0019014934903311964,0.020000000000000018,-2.2299999999999986
2017-05-29,,0.009624061395302697,-0.002582745217603599,-0.10000000000000009,-0.0600000000000005
2017-06-05,,-0.0029929440319467204,-0.0020726066076041105,0.06000000000000005,0.9499999999999993
2017-06-12,,0.0005674878791992466,-0.003016213364118059,-0.04999999999999982,-0.3199999999999985
2017-06-19,,0.0021165978258637086,0.002228822852982093,-0.010000000000000231,-0.3600000000000012
2017-06-26,,-0.006106713693967203,-0.007769355831889979,0.16000000000000014,1.1600000000000001
2017-07-03,,0.0007303757927878962,0.002894018730310588,0.08000000000000007,0.009999999999999787
2017-07-10,,0.014056688575693421,-0.012520289154395181,-0.06000000000000005,-1.6799999999999997
2017-07-17,,0.005395910168464635,-0.0064603385704302685,-0.08999999999999986,-0.15000000000000036
2017-07-24,,-0.00017795465391867715,-0.0024593660099282433,0.05999999999999961,0.9299999999999997
2017-07-31,,0.0019133530196997484,0.0032823871906841884,-0.029999999999999805,-0.2599999999999998
2017-08-07,,-0.014336874149618595,-0.00216356791027994,-0.08000000000000007,5.48
2017-08-14,,-0.006459620205462646,-1.090490739008576e-05,0.0,-1.25
2017-08-21,0.05474892873486725,0.007214858485704356,-0.006356721585590863,-0.020000000000000018,-2.9800000000000004
2017-08-28,0.04618782787046882,0.01371236773705009,-0.002662301139091716,-0.009999999999999787,-1.1499999999999986
2017-09-04,-0.08398830803622914,-0.006105267408289872,-0.011392897229171028,-0.10000000000000009,1.9899999999999984
2017-09-11,-0.10419889743533872,0.015763194565760585,0.004700022261798775,0.14000000000000012,-1.9499999999999993
2017-09-18,-0.010802731899275386,0.0007959267747366106,0.0040576209877329905,0.05999999999999961,-0.5800000000000001
2017-09-25,0.1962994737733672,0.006849917273461292,0.012252400367066318,0.07000000000000028,-0.08000000000000007
2017-10-02,0.059728490252325184,0.011895878318302966,0.006335006862772774,0.040000000000000036,0.14000000000000057
2017-10-09,0.23060129310344823,0.0015062781201335973,-0.004668539980015041,-0.0900000000000003,-0.040000000000000924
2017-10-16,0.04203685120289191,0.008632405989417169,0.006988497908257063,0.11000000000000032,0.3600000000000012
2017-10-23,0.03696794296489747,0.0022755425771101567,0.010014634695485913,0.029999999999999805,-0.16999999999999993
2017-10-30,0.1904430808527744,0.0026229431979760687,-0.001883200549266828,-0.08000000000000007,-0.6600000000000001
2017-11-06,-0.20884655024295407,-0.0021407815011746933,-0.0033563132547126395,0.06000000000000005,2.1499999999999986
2017-11-13,0.3832315441496603,-0.0013360182782791163,-0.005028566921172595,-0.04999999999999982,0.14000000000000057
2017-11-20,0.1356083602886291,0.009139732826647595,-0.008795368715405871,-0.010000000000000231,-1.7599999999999998
2017-11-27,0.22320174583315988,0.01529345762790002,0.0010543029648635294,0.03000000000000025,1.7599999999999998
2017-12-04,0.3344767455919666,0.003512198075860562,0.009860061575448942,0.009999999999999787,-1.8499999999999996
2017-12-11,0.2657748533890649,0.00916839524797286,-0.0008873720750210978,-0.029999999999999805,-0.16000000000000014
2017-12-18,-0.2842001227994456,0.0028141011506797042,-0.00026005906670301115,0.1299999999999999,0.4800000000000004
2017-12-25,0.016026666666666634,-0.003626077947632478,-0.009193544176986923,-0.08000000000000007,1.1399999999999988
2018-01-01,0.17742826814111035,0.026009777043024318,-0.006619833336815706,0.07000000000000028,-1.8199999999999985
2018-01-08,-0.1656368440182464,0.015708218653737394,-0.0041024384176988615,0.07999999999999963,0.9399999999999995
2018-01-15,-0.1443407379152044,0.008635293442058156,-0.008774024113644474,0.0900000000000003,1.1099999999999994
2018-01-22,0.030351257588898672,0.022264526918834182,-0.0116206789537312,0.020000000000000018,-0.1899999999999995
2018-01-29,-0.3110400296297543,-0.03854681903462387,0.0039740896850815055,0.17999999999999972,6.229999999999999
2018-02-05,-0.01477493063369828,-0.05161958343741968,0.010671698014565578,-0.009999999999999787,11.75
2018-02-12,0.28764688958665063,0.04301120421446414,-0.011290599695912173,0.040000000000000036,-9.599999999999998
2018-02-19,-0.07641309278340591,0.00551932128452326,0.006021344240577209,0.009999999999999787,-2.9700000000000024
2018-02-26,0.2007299270072993,-0.020401849088195756,0.007943878365979318,-0.020000000000000018,3.1000000000000014
2018-03-05,-0.17207381676074684,0.03541848583372054,-0.005646063326570472,0.040000000000000036,-4.949999999999999
2018-03-12,-0.14093146638667364,-0.012402344100453266,0.0047274445669598375,-0.04999999999999982,1.1600000000000001
2018-03-19,0.034207611975106245,-0.05950196401902608,-0.00630526443930457,-0.03000000000000025,9.07
2018-03-26,-0.19564470522954136,0.020326396884393194,-0.002516020956013776,-0.07999999999999963,-4.900000000000002
2018-04-02,0.03008802276820366,-0.013783336551969616,0.002886161312412705,0.029999999999999805,1.5199999999999996
2018-04-09,0.19051011684240526,0.019900402001175044,-0.0051192797754122665,0.04999999999999982,-4.079999999999998
2018-04-16,0.05170795930580496,0.005210254865790631,0.008783365411873634,0.14000000000000012,-0.5300000000000011
2018-04-23,0.0719219940321063,-8.613780550836836e-05,0.009195895310259772,0.0,-1.4699999999999989
2018-04-30,0.025481473617156913,-0.002430793547347987,0.00986045148318948,-0.009999999999999787,-0.6400000000000006
2018-05-07,-0.10138720220809394,0.02414189275442835,0.0003147392290250295,0.020000000000000018,-2.119999999999999
2018-05-14,-0.017596210011624813,-0.0054074465121053406,0.0129882023526382,0.08999999999999986,0.7699999999999996
2018-05-21,-0.13932130719199531,0.0030814937135317244,-0.0011887168571329543,-0.1299999999999999,-0.1999999999999993
2018-05-28,0.051133739111240084,0.004883641454729748,0.002170556252089284,-0.040000000000000036,0.2400000000000002
2018-06-04,-0.12305392869828091,0.016239916332068116,0.0025047730189178274,0.040000000000000036,-1.2800000000000011
2018-06-11,-0.04661943328814977,0.0002266978046294721,0.010983296255528296,0.0,-0.1999999999999993
2018-06-18,-0.048474248830549405,-0.008914759359058166,-0.0002929293731400717,-0.03000000000000025,1.7899999999999991
2018-06-25,0.03582223800996265,-0.013252845858984896,-0.000406867499759489,-0.04999999999999982,2.3200000000000003
2018-07-02,0.05589124104700316,0.015248108241335823,-0.005437114709170077,-0.03000000000000025,-2.7200000000000006
2018-07-09,-0.053498904962679394,0.015033589147118276,0.003796958172204601,0.010000000000000231,-1.1899999999999995
2018-07-16,0.16398211241600436,0.0001856274385911849,0.0022180851769471044,0.06000000000000005,0.6799999999999997
2018-07-23,0.11037635957207703,0.006063893955022381,-0.004489888485218474,0.06999999999999984,0.16999999999999993
2018-07-30,-0.1445390330045062,0.0076379477937575935,0.0017684210526316413,-0.009999999999999787,-1.3899999999999988
2018-08-06,-0.10191353024334471,-0.002489129860756445,0.011401444094432334,-0.08000000000000007,1.5199999999999996
2018-08-13,0.02682167863761098,0.00594717077027318,0.0020419858180849015,0.0,-0.5199999999999996
2018-08-20,0.03434488145944514,0.00861715079663039,-0.008167014307554399,-0.050000000000000266,-0.6500000000000004
2018-08-27,0.08985223880597015,0.009333180273351172,0.005959585733966488,0.040000000000000036,0.8699999999999992
2018-09-03,-0.14396036159906656,-0.010284264799139797,0.002678614401162127,0.08000000000000007,2.0200000000000014
