factor,RiskOn,Neutral,RiskOff
VOLC,0.0740779582682426,0.07196227093724722,0.04946311819586421
MAXRET,0.05058041786613464,0.03828499388503032,0.022931909548049637
CRASH8,-0.05195013209550622,-0.07066828069748626,-0.060143853104089665
BETA26,-0.08654255202539098,-0.05956217712814619,-0.04657531086980945
NEWC,-0.061935322273120395,-0.10095143046215063,-0.12141776325209945
SKEW52,0.08092270550129595,0.06222798784198478,0.02817155694355019
TVLC,-0.01441475191475191,0.006804591204227344,0.020522708814564014
