factor,RiskOn,Neutral,RiskOff
VOLC,0.06193430494096266,0.07081733322408557,0.06443796270651637
MAXRET,0.04449962879216349,0.02965980507666509,0.040479410855614066
CRASH8,-0.03530548361702523,-0.09262014080396411,-0.04880466217445859
BETA26,-0.05745962128837112,-0.08853622669651008,-0.03421257400607871
NEWC,-0.056340060465053014,-0.12446235955306102,-0.09366202910123222
SKEW52,0.08278268322735606,0.066609074733422,0.03134882323380037
TVLC,-0.04894387541446364,0.01185250772354844,0.028692964170905347
