week,symbol,cluster_id,signal,side,w
2019-04-01,ADA,,0.49797144001101384,1,0.2
2019-04-01,BNB,,0.2424632813180194,1,0.0885915837075181
2019-04-01,BTC,,-0.4246136873487428,-1,-0.065
2019-04-01,DASH,,0.11806987158634309,0,0.0
2019-04-01,ETC,,-0.49404708516897294,-1,-0.065
2019-04-01,ETH,,-0.1456797463745395,-1,-0.0199996125938891
2019-04-01,FET,,-0.11223369669082514,-1,-3.874061108892261e-07
2019-04-01,LINK,,0.3177451660085,1,0.15640841621901566
2019-04-01,LTC,,-0.4727578284803202,-1,-0.065
2019-04-01,TRX,,0.10649533892901746,0,0.0
2019-04-01,VET,,0.3518271462612946,1,0.2
2019-04-01,XLM,,-0.093801418056757,0,0.0
2019-04-01,XRP,,-0.06084973948829629,0,0.0
2019-04-01,ZEC,,0.1694109574942677,1,7.346623017751357e-11
2019-04-08,ADA,,0.02528788129956644,0,0.05516783611374343
2019-04-08,BNB,,0.6140940073313702,1,0.1692691937414233
2019-04-08,BTC,,-0.159096622527095,-1,-0.03241239049763364
2019-04-08,DASH,,0.11849934816563729,1,0.03258723635579103
2019-04-08,ETC,,-0.3886234874263598,-1,-0.065
2019-04-08,ETH,,-0.0455250118937654,0,-0.005516676749590166
2019-04-08,FET,,0.2562559256160533,1,0.1448320570244724
2019-04-08,LINK,,0.09601600956609568,1,0.04314356988252083
2019-04-08,LTC,,-0.37734392922257715,-1,-0.065
2019-04-08,TRX,,0.04328056842060264,0,0.0
2019-04-08,VET,,0.027694914456290902,0,0.05516783611374343
2019-04-08,XLM,,-0.2349104449529539,-1,-0.047070453263033385
2019-04-08,XRP,,-0.14233238095198222,-1,-3.7262795862965727e-07
2019-04-08,ZEC,,0.16670322211912175,1,0.14483216390652145
2019-04-15,ADA,,-0.16282140671825687,-1,-2.361693978402098e-06
2019-04-15,BNB,,0.5506277979480003,1,0.2
2019-04-15,BTC,,-0.27207941697985943,-1,-0.065
2019-04-15,DASH,,0.11498973101796814,1,5.780486829106096e-10
2019-04-15,ETC,,-0.530373446654296,-1,-0.065
2019-04-15,ETH,,-0.06588554920623857,0,0.0
2019-04-15,FET,,0.7867239646415966,1,0.2
2019-04-15,LINK,,0.18168963066013752,1,0.2
2019-04-15,LTC,,-0.568473353609273,-1,-0.065
2019-04-15,TRX,,-0.05710587746117105,0,0.0
2019-04-15,VET,,0.060673641406674736,0,0.0
2019-04-15,XLM,,-0.16577101569023248,-1,-0.019997638306021588
2019-04-15,XRP,,-0.011777362863472578,0,0.0
2019-04-15,ZEC,,0.13958266350842038,1,0.0449999994219513
2019-04-22,ADA,,0.003917524944661344,0,0.0
2019-04-22,BNB,,0.3852322701097006,1,0.2
2019-04-22,BTC,,0.0037022959796547,0,0.0
2019-04-22,DASH,,0.18395279661242564,1,0.2
2019-04-22,ETC,,-0.3095577535060596,-1,-0.061689498710907884
2019-04-22,ETH,,-0.02447086017955119,-1,-1.5744282003551207e-07
2019-04-22,FET,,-0.12182637827477882,-1,-0.026575752082328555
2019-04-22,LINK,,0.1481927965447285,1,0.2
2019-04-22,LTC,,-0.44175284472605875,-1,-0.065
2019-04-22,TRX,,0.08916118231668553,1,1.0141507641421335e-09
2019-04-22,VET,,0.06270414271889867,0,0.0
2019-04-22,XLM,,-0.1660219563039458,-1,-0.06173459176394353
2019-04-22,XRP,,0.07866134998219663,0,0.0
2019-04-22,ZEC,,0.10810543378144483,1,0.044999998985849214
2019-04-29,ADA,,-0.02875553938037825,-1,-0.017446090798714935
2019-04-29,BNB,,-0.55273207175234,-1,-0.031163812991159917
2019-04-29,BTC,,0.1365362169243595,1,1.195475895983498e-09
2019-04-29,DASH,,0.24065006868044966,1,0.2
2019-04-29,ETC,,0.28535388030878645,1,0.1665865101259174
2019-04-29,ETH,,0.01921940715051518,0,-2.0102885667625424e-08
2019-04-29,FET,,-0.5149600830347153,-1,-0.06009384891239108
2019-04-29,LINK,,0.1616650550007636,1,0.07423093647497697
2019-04-29,LTC,,0.07268812994059642,0,-0.008299442096507945
2019-04-29,TRX,,0.06314059460294634,0,1.2949054683272182e-10
2019-04-29,VET,,0.17758160843583837,1,0.16502329472427238
2019-04-29,XLM,,-0.15511330633009587,-1,-0.064583060514206
2019-04-29,XRP,,-0.0019442976351599288,-1,-2.3471005183985473e-07
2019-04-29,ZEC,,0.0966703370884308,0,0.005745767475784182
2019-05-06,ADA,,0.09598500928371428,0,0.0
2019-05-06,ATOM,,0.12323184338591373,0,0.0
2019-05-06,BNB,,-0.7475435620261429,-1,-0.065
2019-05-06,BTC,,-0.1079630175128525,-1,-0.065
2019-05-06,DASH,,0.28773871230129244,1,0.2
2019-05-06,ETC,,0.34423848483327885,1,0.2
2019-05-06,ETH,,0.008822258462742831,0,0.0
2019-05-06,FET,,-0.4160310537543537,-1,-0.065
2019-05-06,LINK,,-0.07412607382075975,-1,-0.019996924707595672
2019-05-06,LTC,,0.06755569852878257,0,0.0
2019-05-06,TRX,,0.15610662213878423,1,0.04499999943108056
2019-05-06,VET,,-0.06676982350897816,-1,-3.075292404319803e-06
2019-05-06,XLM,,-0.043630091409979595,0,0.0
2019-05-06,XRP,,0.1316807625413572,1,5.689194260425386e-10
2019-05-06,ZEC,,0.24070423055720463,1,0.2
2019-05-13,ADA,,0.1642413986296913,1,0.04175258726919803
2019-05-13,ATOM,,0.12651845921076074,0,0.0
2019-05-13,BNB,,-0.34768662241615367,-1,-0.065
2019-05-13,BTC,,0.14164214165103564,0,-0.004690705790511271
2019-05-13,DASH,,0.15066339914223548,1,0.014432941923559622
2019-05-13,ETC,,0.28985155158262965,1,0.2
2019-05-13,ETH,,-0.0016346445508460964,0,0.0
2019-05-13,FET,,-0.6487961294241694,-1,-0.065
2019-05-13,LINK,,0.2531837527030403,1,0.1841239869442986
2019-05-13,LTC,,-0.085101603668131,-1,-0.018556588080088147
2019-05-13,TRX,,0.17977623535557413,1,0.18881447076618646
2019-05-13,VET,,-0.053241105404297454,-1,-3.3975809127618423e-07
2019-05-13,XLM,,-0.27438272625541066,-1,-0.06030929420948873
2019-05-13,XRP,,-0.025576197266822462,0,4.105590224726278e-11
2019-05-13,ZEC,,0.13054209071086276,0,0.014432940893880836
2019-05-20,ADA,,0.08617791985620912,0,0.004527201140359038
2019-05-20,ATOM,,0.12324225956223976,1,0.07713497815555109
2019-05-20,BNB,,-0.21329089918291816,-1,-0.029580601611340088
2019-05-20,BTC,,-0.14042924480414468,0,-0.0005086096453610078
2019-05-20,DASH,,-0.08357056149727332,0,0.0015649528666042325
2019-05-20,ETC,,0.10414456075378747,1,0.02168584873837323
2019-05-20,ETH,,-0.2391440429083601,-1,-0.0532505257804138
2019-05-20,FET,,-0.5476174715678667,-1,-0.065
2019-05-20,LINK,,0.04851850892585875,0,0.01996442324130232
2019-05-20,LTC,,0.9968473864522888,1,0.17630207612261917
2019-05-20,TRX,,0.32261844365771863,1,0.1987871616104567
2019-05-20,VET,,-0.020327493919923008,0,-3.683971027602608e-08
2019-05-20,XLM,,-0.38675032182464064,-1,-0.064491390354639
2019-05-20,XRP,,-0.17944775411351882,-1,-2.878829626238523e-07
