week,symbol,cluster_id,signal,side,w
2019-04-01,ADA,,0.24561246605492268,1,0.13125
2019-04-01,BNB,,-0.16369897682574974,0,0.0
2019-04-01,BTC,,-0.6025451330406604,-1,-0.13430256465075635
2019-04-01,DASH,,0.16526879941090628,0,0.0
2019-04-01,ETC,,-0.3219212082023954,-1,-0.12209230604773093
2019-04-01,ETH,,-0.1986092126225772,-1,-0.13430256465075635
2019-04-01,FET,,0.15200185946991304,0,0.0
2019-04-01,LINK,,0.5629496366593865,1,0.13125
2019-04-01,LTC,,-0.24084334516011452,-1,-0.13430256465075635
2019-04-01,TRX,,0.25399053634039015,1,0.13125
2019-04-01,VET,,-0.027149810960849646,0,0.0
2019-04-01,XLM,,-0.07814383526305754,0,0.0
2019-04-01,XRP,,0.07018730118583037,0,0.0
2019-04-01,ZEC,,0.18290092295405663,1,0.13125
2019-04-08,ADA,,-0.011322418904350064,0,0.0
2019-04-08,BNB,,-0.07281785306516791,0,0.0
2019-04-08,BTC,,-0.5229617169579464,-1,-0.13612411072090405
2019-04-08,DASH,,0.16544023196764776,1,0.13125
2019-04-08,ETC,,-0.10904326380099821,0,0.0
2019-04-08,ETH,,-0.19427402138565106,-1,-0.13612411072090405
2019-04-08,FET,,0.6630896457981682,1,0.13125
2019-04-08,LINK,,0.21656519628872117,1,0.13125
2019-04-08,LTC,,-0.2911594198769877,-1,-0.11662766783728784
2019-04-08,TRX,,0.03742303944622377,0,0.0
2019-04-08,VET,,-0.002349867433474045,0,0.0
2019-04-08,XLM,,-0.1299534243111912,-1,-0.13612411072090405
2019-04-08,XRP,,0.06968169848952488,0,0.0
2019-04-08,ZEC,,0.18168217374548215,1,0.13125
2019-04-15,ADA,,0.019283490064926086,0,0.0
2019-04-15,BNB,,-0.1485913392437413,0,0.0
2019-04-15,BTC,,-0.5499755848393539,-1,-0.13995103150720373
2019-04-15,DASH,,0.16233528023777502,1,0.13125
2019-04-15,ETC,,-0.1895768559681872,-1,-0.11188826749187047
2019-04-15,ETH,,-0.17682499427981824,-1,-0.13995103150720373
2019-04-15,FET,,0.8053019400197404,1,0.13125
2019-04-15,LINK,,0.1807227614074314,1,0.13125
2019-04-15,LTC,,-0.3732823853702514,-1,-0.1332096694937221
2019-04-15,TRX,,0.02221167888071171,0,0.0
2019-04-15,VET,,0.023297953507009247,0,0.0
2019-04-15,XLM,,-0.09333183275417638,0,0.0
2019-04-15,XRP,,0.13618308116668446,0,0.0
2019-04-15,ZEC,,0.18224680717124883,1,0.13125
2019-04-22,ADA,,0.06556727305413274,0,0.0
2019-04-22,BNB,,-0.11470487910672136,0,0.0
2019-04-22,BTC,,-0.44394756616728887,-1,-0.13792359107693136
2019-04-22,DASH,,0.22715532652706216,1,0.13125
2019-04-22,ETC,,-0.13692402998575454,-1,-0.11570510872249938
2019-04-22,ETH,,-0.13365678178874446,-1,-0.13792359107693136
2019-04-22,FET,,0.43244945019126996,1,0.13125
2019-04-22,LINK,,0.15584243318138277,0,0.0
2019-04-22,LTC,,-0.34354326620185566,-1,-0.13344770912363785
2019-04-22,TRX,,0.06726727753607134,0,0.0
2019-04-22,VET,,0.013592836151036822,0,0.0
2019-04-22,XLM,,-0.11484290310869594,0,0.0
2019-04-22,XRP,,0.16129497653372024,1,0.13125
2019-04-22,ZEC,,0.1644498531843853,1,0.13125
2019-04-29,ADA,,0.14069725804023098,1,0.11543472045874885
2019-04-29,BNB,,-0.6640181493612481,-1,-0.09086941589208457
2019-04-29,BTC,,-0.4187261216902497,-1,-0.14024258501498843
2019-04-29,DASH,,0.20922365530983902,1,0.13125
2019-04-29,ETC,,0.33145681195321264,1,0.10149255940124648
2019-04-29,ETH,,-0.11541892269450116,-1,-0.14024258501498843
2019-04-29,FET,,0.10994658489380928,0,0.015815279541251157
2019-04-29,LINK,,0.022292274598336465,0,0.0
2019-04-29,LTC,,-0.0017586200244388544,0,-0.0160800977061326
2019-04-29,TRX,,0.09314269270627325,0,0.0
2019-04-29,VET,,0.04754280719707272,0,0.0
2019-04-29,XLM,,-0.07824653635786807,-1,-0.12362315531430362
2019-04-29,XRP,,0.11256737551793715,0,0.015815279541251157
2019-04-29,ZEC,,0.211298889911593,1,0.13125
2019-05-06,ADA,,0.13011630121941561,0,0.0
2019-05-06,ATOM,,0.1672652205647795,0,0.0
2019-05-06,BNB,,-0.650453094590944,-1,-0.09492028819923157
2019-05-06,BTC,,-0.5770275430871257,-1,-0.11769840975978073
2019-05-06,DASH,,0.21608554662861784,1,0.12123544997611245
2019-05-06,ETC,,0.3970532819758486,1,0.12123544997611245
2019-05-06,ETH,,-0.18907474071676633,-1,-0.11769840975978073
2019-05-06,FET,,0.2098376705461197,1,0.04005820009555019
2019-05-06,LINK,,-0.16697398995892923,-1,-0.07698448252142616
2019-05-06,LTC,,-0.014247890800097479,0,0.0
2019-05-06,TRX,,0.11684949662475037,0,0.0
2019-05-06,VET,,-0.027880553111978186,0,0.0
2019-05-06,XLM,,-0.035118424990430615,-1,-0.11769840975978073
2019-05-06,XRP,,0.16849651433671764,1,0.12123544997611245
2019-05-06,ZEC,,0.25507220536002534,1,0.12123544997611245
2019-05-13,ADA,,0.12785449907366658,1,0.1084769960222822
2019-05-13,ATOM,,0.1685771266873592,1,0.1084769960222822
2019-05-13,BNB,,-0.4057294263954413,-1,-0.10140481268591511
