week,factor,ic
2019-06-10,FunC,
2019-06-17,VolC,0.075
2019-06-17,MAXRET,0.0
2019-06-17,CRASH8,-0.5928571428571427
2019-06-17,BETA26,-0.21428571428571427
2019-06-17,TVLC,
2019-06-17,SKEW52,
2019-06-17,NEWC,-0.09660122791674566
2019-06-17,RMOM1w,0.17857142857142855
2019-06-17,RMOM2w,0.5357142857142856
2019-06-17,SMBC,0.075
2019-06-17,NetRel,
2019-06-17,MomC,0.125
2019-06-17,NetMom,
2019-06-17,FunC,
2019-06-24,VolC,-0.4142857142857142
2019-06-24,MAXRET,-0.16428571428571426
2019-06-24,CRASH8,0.2642857142857143
2019-06-24,BETA26,-0.1384615384615385
2019-06-24,TVLC,
2019-06-24,SKEW52,
2019-06-24,NEWC,-0.48306385230827004
2019-06-24,RMOM1w,0.11071428571428568
2019-06-24,RMOM2w,0.15714285714285714
2019-06-24,SMBC,-0.28529411764705886
2019-06-24,NetRel,
2019-06-24,MomC,0.12142857142857141
2019-06-24,NetMom,
2019-06-24,FunC,
2019-07-01,VolC,0.014285714285714282
2019-07-01,MAXRET,-0.42499999999999993
2019-07-01,CRASH8,-0.5642857142857142
2019-07-01,BETA26,-0.4945054945054946
2019-07-01,TVLC,
2019-07-01,SKEW52,
2019-07-01,NEWC,-0.2047130349721022
2019-07-01,RMOM1w,0.16428571428571426
2019-07-01,RMOM2w,0.5
2019-07-01,SMBC,-0.43529411764705883
2019-07-01,NetRel,
2019-07-01,MomC,0.532142857142857
2019-07-01,NetMom,
2019-07-01,FunC,
2019-07-08,VolC,0.04285714285714285
2019-07-08,MAXRET,0.35357142857142854
2019-07-08,CRASH8,0.42499999999999993
2019-07-08,BETA26,-0.09010989010989012
2019-07-08,TVLC,
2019-07-08,SKEW52,
2019-07-08,NEWC,-0.3141106658969356
2019-07-08,RMOM1w,-0.34642857142857136
2019-07-08,RMOM2w,-0.2714285714285714
2019-07-08,SMBC,-0.014705882352941176
2019-07-08,NetRel,
2019-07-08,MomC,-0.17058823529411765
2019-07-08,NetMom,
2019-07-08,FunC,
2019-07-15,VolC,0.02647058823529412
2019-07-15,MAXRET,0.044117647058823525
2019-07-15,CRASH8,0.0
2019-07-15,BETA26,0.2835164835164835
2019-07-15,TVLC,
2019-07-15,SKEW52,
2019-07-15,NEWC,-0.38895734800518983
2019-07-15,RMOM1w,0.08823529411764705
2019-07-15,RMOM2w,-0.07058823529411765
2019-07-15,SMBC,0.012254901960784315
2019-07-15,NetRel,
2019-07-15,MomC,0.008823529411764706
2019-07-15,NetMom,
2019-07-15,FunC,
2019-07-22,VolC,0.16176470588235295
2019-07-22,MAXRET,-0.0058823529411764705
2019-07-22,CRASH8,-0.1714285714285714
2019-07-22,BETA26,-0.178021978021978
2019-07-22,TVLC,
2019-07-22,SKEW52,
2019-07-22,NEWC,-0.07975466126289381
2019-07-22,RMOM1w,-0.31176470588235294
2019-07-22,RMOM2w,-0.16764705882352943
2019-07-22,SMBC,-0.536764705882353
2019-07-22,NetRel,
2019-07-22,MomC,0.15686274509803924
2019-07-22,NetMom,
2019-07-22,FunC,
2019-07-29,VolC,0.04901960784313726
2019-07-29,MAXRET,-0.08333333333333334
2019-07-29,CRASH8,-0.09411764705882353
2019-07-29,BETA26,-0.16785714285714282
2019-07-29,TVLC,
2019-07-29,SKEW52,
2019-07-29,NEWC,0.06380372901031504
2019-07-29,RMOM1w,0.34313725490196084
2019-07-29,RMOM2w,0.3088235294117647
2019-07-29,SMBC,-0.13970588235294118
2019-07-29,NetRel,
2019-07-29,MomC,0.2058823529411765
2019-07-29,NetMom,
2019-07-29,FunC,
2019-08-05,VolC,0.27941176470588236
2019-08-05,MAXRET,0.1593137254901961
2019-08-05,CRASH8,-0.37941176470588234
2019-08-05,BETA26,-0.17857142857142855
2019-08-05,TVLC,
2019-08-05,SKEW52,
2019-08-05,NEWC,-0.2613498899845597
2019-08-05,RMOM1w,-0.24754901960784317
2019-08-05,RMOM2w,0.09558823529411767
2019-08-05,SMBC,-0.08088235294117649
2019-08-05,NetRel,
2019-08-05,MomC,0.19117647058823534
2019-08-05,NetMom,
2019-08-05,FunC,
2019-08-12,VolC,0.4093137254901961
2019-08-12,MAXRET,0.24754901960784317
2019-08-12,CRASH8,-0.07107843137254903
2019-08-12,BETA26,-0.021428571428571425
2019-08-12,TVLC,
2019-08-12,SKEW52,
2019-08-12,NEWC,-0.30306771279899647
2019-08-12,RMOM1w,-0.232843137254902
2019-08-12,RMOM2w,-0.34068627450980393
2019-08-12,SMBC,0.058823529411764705
2019-08-12,NetRel,
2019-08-12,MomC,-0.13970588235294118
2019-08-12,NetMom,
2019-08-12,FunC,
2019-08-19,VolC,0.37500000000000006
2019-08-19,MAXRET,-0.03676470588235294
2019-08-19,CRASH8,-0.3995098039215687
2019-08-19,BETA26,-0.38214285714285706
2019-08-19,TVLC,
2019-08-19,SKEW52,
2019-08-19,NEWC,-0.4564420613814846
2019-08-19,RMOM1w,0.46813725490196084
2019-08-19,RMOM2w,0.009803921568627453
2019-08-19,SMBC,-0.3357843137254902
2019-08-19,NetRel,
2019-08-19,MomC,0.20098039215686278
2019-08-19,NetMom,
2019-08-19,FunC,
2019-08-26,VolC,-0.16666666666666669
2019-08-26,MAXRET,0.15441176470588236
2019-08-26,CRASH8,0.24509803921568632
2019-08-26,BETA26,0.4107142857142856
2019-08-26,TVLC,
2019-08-26,SKEW52,0.09090909090909093
2019-08-26,NEWC,0.017177927041238668
2019-08-26,RMOM1w,-0.10294117647058824
2019-08-26,RMOM2w,-0.26470588235294124
2019-08-26,SMBC,0.2132352941176471
2019-08-26,NetRel,
2019-08-26,MomC,-0.1936274509803922
2019-08-26,NetMom,
2019-08-26,FunC,
2019-09-02,VolC,-0.058823529411764705
2019-09-02,MAXRET,-0.5833333333333334
2019-09-02,CRASH8,-0.16421568627450983
2019-09-02,BETA26,0.42499999999999993
2019-09-02,TVLC,
2019-09-02,SKEW52,0.1398601398601399
2019-09-02,NEWC,-0.08343564562887353
2019-09-02,RMOM1w,0.7450980392156863
2019-09-02,RMOM2w,0.5686274509803922
2019-09-02,SMBC,0.09313725490196079
2019-09-02,NetRel,
2019-09-02,MomC,0.25980392156862747
2019-09-02,NetMom,
2019-09-02,FunC,
2019-09-09,VolC,0.6740196078431374
2019-09-09,MAXRET,0.6348039215686275
2019-09-09,CRASH8,-0.49754901960784315
2019-09-09,BETA26,-0.2571428571428571
2019-09-09,TVLC,
2019-09-09,SKEW52,0.013986013986013986
2019-09-09,NEWC,-0.4152894777986415
2019-09-09,RMOM1w,-0.36764705882352944
2019-09-09,RMOM2w,-0.41666666666666674
2019-09-09,SMBC,-0.4097007223942208
2019-09-09,NetRel,
2019-09-09,MomC,-0.33333333333333337
2019-09-09,NetMom,
2019-09-09,FunC,
2019-09-16,VolC,0.33333333333333337
2019-09-16,MAXRET,-0.16666666666666669
2019-09-16,CRASH8,-0.6813725490196079
2019-09-16,BETA26,-0.31764705882352945
2019-09-16,TVLC,
2019-09-16,SKEW52,-0.23076923076923078
2019-09-16,NEWC,-0.10640501545587085
2019-09-16,RMOM1w,0.6740196078431374
2019-09-16,RMOM2w,0.38970588235294124
2019-09-16,SMBC,-0.27966976264189886
2019-09-16,NetRel,
2019-09-16,MomC,0.19607843137254904
2019-09-16,NetMom,
2019-09-16,FunC,
2019-09-23,VolC,-0.286764705882353
2019-09-23,MAXRET,-0.45098039215686275
2019-09-23,CRASH8,-0.10049019607843139
2019-09-23,BETA26,0.11470588235294117
2019-09-23,TVLC,
2019-09-23,SKEW52,0.4197802197802198
2019-09-23,NEWC,0.2179753229241626
2019-09-23,RMOM1w,0.6936274509803922
2019-09-23,RMOM2w,0.5637254901960785
2019-09-23,SMBC,0.2115583075335397
2019-09-23,NetRel,
2019-09-23,MomC,0.4055727554179567
2019-09-23,NetMom,
2019-09-23,FunC,
2019-09-30,VolC,-0.2776057791537668
2019-09-30,MAXRET,-0.24871001031991744
