week,p_RiskOff,p_Neutral,p_RiskOn,label,csd,mkt_ret,network_entropy,btc_dom,dbtc_dom,mktmom4,csd_z,dbtc_dom_z,network_entropy_z,mktmom4_z
2019-04-01,0.0,1.0,0.0,Neutral,0.148256187402844,0.2488435473593214,,0.5104654134060118,,,,,0.0,
2019-04-08,0.0,1.0,0.0,Neutral,0.045306878483936684,-0.07300409570543231,,0.5289154955323147,,0.1758394516538891,,,0.0,
2019-04-15,0.0,1.0,0.0,Neutral,0.10709556673961237,-0.004486176265733126,,0.5392513166151298,,0.17135327538815595,,,0.0,
2019-04-22,0.0,1.0,0.0,Neutral,0.08642246681039044,-0.09105770524401229,,0.5622313521353768,,0.08029557014414368,,,0.0,
2019-04-29,0.0,1.0,0.0,Neutral,0.07138903779613893,0.01599476902238237,,0.5776787925967832,0.06721337919077142,-0.15255320819279536,,,0.0,
2019-05-06,0.0,1.0,0.0,Neutral,0.12627229823671118,0.03892100037766359,,0.6096463078149991,0.08073081228268442,-0.04062811210969945,,,0.0,
2019-05-13,0.0,1.0,0.0,Neutral,0.16406389119406306,0.3426985208346736,,0.575487577442562,0.03623626082743214,0.30655658499070726,,,0.0,
2019-05-20,0.0,1.0,0.0,Neutral,0.08921949728476927,0.0038872190588249717,,0.5899987285346376,0.027767376399260857,0.4015015092935446,,,0.0,
2019-05-27,0.0,1.0,0.0,Neutral,0.12851904856345805,0.1043923944491292,,0.5772558000484053,-0.00042299254837796507,0.4898991347202914,,,0.0,
2019-06-03,0.0,1.0,0.0,Neutral,0.07517556755841956,-0.10189661201862385,,0.5776740099715063,-0.03197229784349276,0.3490815223240039,,,0.0,
2019-06-10,0.0,1.0,0.0,Neutral,0.13457092249879,0.14289435227425565,,0.5870213523843943,0.011533774941832386,0.14927735376358603,,,0.0,
2019-06-17,0.0,1.0,0.0,Neutral,0.08907909117034533,0.07907546118308462,,0.5770285502829918,-0.012970178251645814,0.22446559588784568,,,0.0,
2019-06-24,0.0,1.0,0.0,Neutral,0.2607345900936834,-0.05319867239553112,,0.6105738994210311,0.033318099372625865,0.06687452904318536,-0.4642915516573303,,0.0,
2019-07-01,0.0,1.0,0.0,Neutral,0.07891124752067617,-0.01541638500113239,,0.6258867428495565,0.04821273287805017,0.1533547560606768,2.619566351748263,,0.0,-0.6411651048667169
2019-07-08,0.0,1.0,0.0,Neutral,0.05550904365802967,-0.22434465979948875,,0.6600471516621227,0.07302579927772834,-0.2138842560130676,-0.6670356637435542,,0.0,-0.16602149230266033
2019-07-15,0.0,1.0,0.0,Neutral,0.0844320126208989,0.0303388871601314,,0.661781031277693,0.08475248099470123,-0.2626208300360208,-1.0252828840005017,,0.0,-1.8388940619745309
2019-07-22,0.0,1.0,0.0,Neutral,0.04870611051041084,-0.09925213131753953,,0.6574822156315874,0.046908316210556245,-0.30867428895802923,-0.46982334472695986,1.315383943174288,0.0,-1.761219080053967
