week,pnl_gross,turnover,cost,pnl_net,gross_exposure,long_gross,short_gross,net_exposure,n_assets
2019-04-01,-0.026087488371289498,0.43,0.00043,-0.026517488371289498,0.86,0.6450000000000001,0.215,0.43000000000000016,10
2019-04-08,0.07020830255343943,0.44999999999999996,0.00045,0.06975830255343943,0.8599997862764317,0.6449998931382158,0.21499989313821583,0.43,13
2019-04-15,-0.0950796737729119,0.2753450436861441,0.00027534504368614414,-0.09535501881659805,0.86,0.645,0.215,0.43000000000000005,10
2019-04-22,0.0364549102171336,0.2683128634191726,0.0002683128634191726,0.036186597353714434,0.8599999999999999,0.645,0.215,0.43000000000000005,10
2019-04-29,0.032205958870105855,0.44999999999999996,0.00045,0.031755958870105856,0.7931730202518347,0.6115865101259174,0.18158651012591737,0.43,14
2019-05-06,0.10711061592557183,0.3629965704911743,0.00036299657049117424,0.10674761935508066,0.8599999999999999,0.645,0.215,0.43000000000000005,10
2019-05-13,0.029279260006170406,0.44999999999999996,0.00045,0.028829260006170407,0.8571138556763589,0.6435569278381795,0.21355692783817942,0.4300000000000001,13
2019-05-20,0.10450109651408762,0.45,0.00045,0.10405109651408762,0.8556629042288536,0.6428314521144268,0.2128314521144268,0.43000000000000005,15
2019-05-27,-0.059206379345040236,0.13443786529804638,0.00013443786529804638,-0.059340817210338286,0.8599999999999999,0.645,0.215,0.43000000000000005,10
2019-06-03,0.08417152956087343,0.3184050157649997,0.0003184050157649997,0.08385312454510843,0.8600000000000001,0.645,0.215,0.43000000000000005,10
2019-06-10,-0.010768424835410927,0.45000000000000007,0.0004500000000000001,-0.011218424835410927,0.7927762618694694,0.6113881309347347,0.18138813093473463,0.43000000000000005,13
2019-06-17,-0.09460844298695821,0.45,0.00045,-0.09505844298695822,0.7952943222679525,0.6126471611339761,0.18264716113397617,0.42999999999999994,14
2019-06-24,-0.010865942435616711,0.45,0.00045,-0.011315942435616712,0.8571782858601203,0.6435891429300602,0.21358914293006015,0.43000000000000005,14
2019-07-01,-0.12848919931777122,0.3607829133057321,0.00036078291330573207,-0.12884998223107696,0.86,0.645,0.215,0.43000000000000005,10
2019-07-08,0.01229059927706411,0.2508929778426121,0.0002508929778426121,0.012039706299221499,0.8600000000000001,0.645,0.215,0.43000000000000005,12
2019-07-15,-0.04168471182717021,0.39860491050517555,0.00039860491050517554,-0.04208331673767538,0.8600000000000001,0.645,0.215,0.43000000000000005,12
2019-07-22,-0.05466027246526598,0.45,0.00045,-0.05511027246526598,0.86,0.6450000000000001,0.21500000000000002,0.4300000000000001,15
2019-07-29,-0.02831389582415396,0.4084037395553765,0.0004084037395553765,-0.028722299563709336,0.8599999999999999,0.645,0.21499999999999997,0.43000000000000005,12
2019-08-05,-0.035498893120794135,0.31718879702265,0.00031718879702265,-0.03581608191781679,0.86,0.645,0.215,0.43000000000000005,12
2019-08-12,0.044641455452429396,0.3658550818407613,0.0003658550818407613,0.044275600370588634,0.8600000000000001,0.645,0.215,0.43000000000000005,12
2019-08-19,-0.050885803748976555,0.2542939819692363,0.0002542939819692363,-0.05114009773094579,0.8600000000000001,0.645,0.21499999999999997,0.43000000000000005,12
2019-08-26,0.043267414426584036,0.2924162302278346,0.00029241623022783456,0.0429749981963562,0.8599999999999999,0.645,0.215,0.43000000000000005,12
2019-09-02,0.03656981922499067,0.44999999999999996,0.00045,0.03611981922499067,0.7662460616612432,0.5981230308306216,0.16812303083062155,0.43000000000000005,14
