week,pnl_gross,turnover,cost,pnl_net,gross_exposure,long_gross,short_gross,net_exposure,n_assets
2019-04-01,-0.0342961030256099,0.47,0.00046999999999999993,-0.034766103025609896,0.94,0.7049999999999998,0.235,0.46999999999999986,10
2019-04-08,0.03116944530977176,0.45000000000000007,0.0004500000000000001,0.030719445309771762,0.94,0.705,0.235,0.47,13
2019-04-15,-0.11185958485382584,0.07352089976145534,7.352089976145535e-05,-0.1119331057535873,0.9399999999999997,0.7049999999999998,0.235,0.46999999999999986,10
2019-04-22,-0.03619596957539915,0.2132560876265956,0.00021325608762659562,-0.03640922566302575,0.9399999999999998,0.705,0.23500000000000001,0.47,10
2019-04-29,0.007426254335126279,0.42449400403026555,0.0004244940040302655,0.0070017603310960136,0.94,0.7049999999999998,0.235,0.46999999999999986,10
2019-05-06,0.19893742380722879,0.14624056547951508,0.00014624056547951508,0.19879118324174927,0.94,0.7049999999999998,0.235,0.46999999999999986,10
2019-05-13,-0.012152749068051768,0.3826476992128755,0.0003826476992128755,-0.012535396767264643,0.9399999999999997,0.7049999999999998,0.235,0.46999999999999986,10
2019-05-20,0.13719809515278875,0.2245677808944309,0.0002245677808944309,0.1369735273718943,0.94,0.7049999999999998,0.235,0.46999999999999986,10
2019-05-27,-0.05722924128375591,0.35638542024315156,0.00035638542024315155,-0.05758562670399906,0.94,0.7050000000000001,0.235,0.4700000000000001,10
2019-06-03,0.04894218240921511,0.2552201042690543,0.0002552201042690543,0.048686962304946055,0.94,0.7049999999999998,0.235,0.46999999999999986,10
2019-06-10,0.0021455381608474836,0.4500000000000001,0.0004500000000000001,0.0016955381608474835,0.9400000000000001,0.705,0.235,0.47,13
2019-06-17,-0.1282711298694693,0.08000061953856373,8.000061953856373e-05,-0.12835113048900787,0.9399999999999998,0.705,0.23499999999999996,0.47,10
2019-06-24,-0.007864641970720239,0.41585735139344254,0.00041585735139344256,-0.008280499322113681,0.94,0.7049999999999998,0.235,0.46999999999999986,10
2019-07-01,-0.1594616948984532,0.16999963126625448,0.0001699996312662545,-0.15963169452971945,0.9399999999999998,0.7049999999999998,0.235,0.46999999999999986,10
2019-07-08,0.046695645969710056,0.1912819097762952,0.0001912819097762952,0.04650436405993376,0.94,0.7050000000000001,0.235,0.4700000000000001,12
2019-07-15,-0.047772948074740244,0.007486647427865024,7.486647427865023e-06,-0.04778043472216811,0.9399999999999998,0.7049999999999998,0.235,0.46999999999999986,12
2019-07-22,0.012894995685987445,0.40093524697196453,0.0004009352469719645,0.01249406043901548,0.9399999999999998,0.705,0.235,0.47,12
2019-07-29,-0.033192207580967525,0.3965518129643001,0.0003965518129643001,-0.03358875939393183,0.94,0.7049999999999998,0.23500000000000001,0.46999999999999986,12
2019-08-05,-0.05232450082677183,0.34642122842372164,0.00034642122842372164,-0.05267092205519555,0.94,0.7049999999999998,0.235,0.46999999999999986,12
