week,VolC,MAXRET,CRASH8,BETA26,TVLC,SKEW52,NEWC,RMOM1w,RMOM2w,SMBC,NetRel,MomC,NetMom,FunC
2019-04-01,0.15859030837004406,0.15859030837004406,0.07136563876651983,0.04229074889867842,0.05286343612334802,0.047577092511013226,0.04229074889867842,0.10572687224669604,0.10572687224669604,0.08458149779735684,0.11101321585903084,0.004405286343612334,0.004405286343612334,0.010572687224669605
2019-04-08,0.15859030837004406,0.15859030837004406,0.07136563876651983,0.04229074889867842,0.05286343612334802,0.047577092511013226,0.04229074889867842,0.10572687224669604,0.10572687224669604,0.08458149779735684,0.11101321585903084,0.004405286343612334,0.004405286343612334,0.010572687224669605
2019-04-15,0.2344485280929289,0.20979445152832446,0.05288299423107653,0.03133807065545276,0.03917258831931595,0.03525532948738436,0.03133807065545276,0.10652126414103696,0.09994684372380912,0.06267614131090551,0.0822624354705635,0.0032643823599429957,0.0032643823599429957,0.00783451766386319
2019-04-22,0.2261390422862247,0.16925936126865318,0.05800458156550959,0.03437308537215383,0.04296635671519229,0.03866972104367307,0.03437308537215383,0.10869439690787762,0.11279051882677994,0.06874617074430767,0.09022934910190382,0.003580529726266024,0.003580529726266024,0.008593271343038458
2019-04-29,0.22278935475810385,0.16358002546240294,0.057804166409294505,0.034254320835137485,0.04281790104392186,0.038536110939529675,0.034254320835137485,0.11224681899466131,0.11918005583274234,0.06850864167027497,0.08991759219223591,0.003978952397446508,0.003568158420326821,0.008563580208784371
2019-05-06,0.21482201065236556,0.15583460567144897,0.057431740037416995,0.03403362372587674,0.04254202965734592,0.038287826691611335,0.03403362372587674,0.12361049051116026,0.12565921071775008,0.06806724745175348,0.08933826228042645,0.004285753807386179,0.00354516913811216,0.008508405931469185
2019-05-13,0.20137526294391117,0.15130642123270854,0.06193102472998533,0.03669986650665798,0.04587483313332247,0.04128734981999022,0.03669986650665798,0.11801623263326257,0.11962679477837421,0.07339973301331595,0.09633714957997719,0.0044475957340617085,0.0038229027611102052,0.009174966626664494
2019-05-20,0.20237507904190782,0.1597487335922897,0.06067500052115544,0.03595555586438841,0.044944444830485514,0.04045000034743696,0.03595555586438841,0.1148009900197016,0.1215722079756101,0.07191111172877682,0.09438333414401957,0.0044937267012021545,0.003745370402540459,0.008988888966097102
2019-05-27,0.20281154265730553,0.16802977981223197,0.06161700967186003,0.03651378350925039,0.04564222938656299,0.04107800644790669,0.03651378350925039,0.10839101262141936,0.11371995622940381,0.07302756701850079,0.09584868171178228,0.003874682431666253,0.0038035191155469153,0.009128445877312598
2019-06-03,0.19501046148704945,0.160764699040595,0.065697483220344,0.03893184190835199,0.04866480238543999,0.043798322146895996,0.03893184190835199,0.0997012065112208,0.11046951812511621,0.07786368381670399,0.102196085009424,0.004181693764631926,0.004055400198786666,0.009732960477087998
2019-06-10,0.18599791493184184,0.15522939028148416,0.06766242877656331,0.0400962540898153,0.05012031761226912,0.045108285851042214,0.0400962540898153,0.10024063522453824,0.11121674873617331,0.0801925081796306,0.10525266698576516,0.0045858385842518345,0.00417669313435576,0.010024063522453825
2019-06-17,0.17665367740959526,0.16056418238272158,0.06772472466157614,0.040133170169822895,0.05016646271227862,0.04514981644105076,0.040133170169822895,0.10594416634802639,0.109316817471501,0.08026634033964579,0.10534957169578511,0.004384069096361332,0.004180538559356552,0.010033292542455724
2019-06-24,0.16832504379911578,0.15949633714073727,0.06851434893060444,0.04060109566258041,0.050751369578225514,0.04567623262040297,0.04060109566258041,0.10537482167058253,0.11426029497075772,0.08120219132516082,0.10657787611427359,0.004239737811148006,0.00422928079818546,0.010150273915645103
2019-07-01,0.15736597952293377,0.1590890999423568,0.0708146907853202,0.041964261206115676,0.05245532650764459,0.047209793856880136,0.041964261206115676,0.10491065301528918,0.11090760615958936,0.08392852241223135,0.11015618566605365,0.0043712772089703825,0.0043712772089703825,0.010491065301528919
2019-07-08,0.1592357926953434,0.15316740587317051,0.06892533264292673,0.040844641566178806,0.05105580195772351,0.04595022176195116,0.040844641566178806,0.10596483418093769,0.12605453082254428,0.08168928313235761,0.10721718411121937,0.00458451913477982,0.004254650163143626,0.010211160391544702
2019-07-15,0.15700042378886414,0.15700042378886414,0.07065019070498887,0.041866779677030445,0.05233347459628805,0.04710012713665925,0.041866779677030445,0.1046669491925761,0.11469205474612718,0.08373355935406089,0.10990029665220491,0.004361122883024004,0.004361122883024004,0.010466694919257611
2019-07-22,0.15596629389892006,0.15596629389892006,0.07018483225451402,0.04159101170637868,0.051988764632973354,0.04678988816967602,0.04159101170637868,0.10498859527681606,0.11887671034278531,0.08318202341275736,0.10917640572924404,0.004968018991293922,0.004332397052747779,0.01039775292659467
2019-07-29,0.1589983069356719,0.15430928674278274,0.06943917903425223,0.04114914313140873,0.051436428914260916,0.04629278602283483,0.04114914313140873,0.10652682023068435,0.12068881899597338,0.08229828626281746,0.10801650071994792,0.00512164501891624,0.00428636907618841,0.010287285782852183
2019-08-05,0.15227799061147893,0.15227799061147893,0.06852509577516552,0.04060746416306105,0.050759330203826315,0.045683397183443684,0.04060746416306105,0.11577453711975966,0.12597362822764133,0.0812149283261221,0.10659459342803526,0.0053217699625087555,0.004229944183652193,0.010151866040765262
2019-08-12,0.16112775435871116,0.15341773065002373,0.06903797879251068,0.04091139484000633,0.051139243550007915,0.046025319195007124,0.04091139484000633,0.10227848710001583,0.12611532958426472,0.08182278968001266,0.10739241145501663,0.005330713615248048,0.004261603629167326,0.010227848710001583
2019-08-19,0.17286431515308773,0.15824450234845208,0.06933717323824345,0.04108869525229242,0.05136086906536552,0.04622478215882897,0.04108869525229242,0.10272173813073104,0.10737072916017709,0.08217739050458484,0.1078578250372676,0.005111038463489967,0.004280072422113793,0.010272173813073104
2019-08-26,0.19367597682359602,0.15816848929031171,0.06750767362886763,0.04000454733562526,0.05000568416953158,0.04500511575257842,0.04000454733562526,0.10001136833906316,0.10138007133914155,0.08000909467125052,0.10501193675601632,0.005047217377025274,0.004167140347460964,0.010001136833906315
2019-09-02,0.18585320677514805,0.1749069094557969,0.06678688993137376,0.03957741625562889,0.04947177031953612,0.04452459328758251,0.03957741625562889,0.09894354063907224,0.09894354063907224,0.07915483251125778,0.10389071767102585,0.004352164668341543,0.0041226475266280095,0.009894354063907223
2019-09-09,0.18263286116580585,0.14842622829934024,0.06679180273470312,0.041202064672022,0.04947540943311342,0.05333557874053216,0.03958032754649073,0.11484323504757776,0.10190271304248823,0.07916065509298147,0.10389835980953818,0.004732731742691381,0.004122950786092785,0.009895081886622683
2019-09-16,0.19944798732690724,0.16085897129020144,0.06554930400525283,0.03884403200311279,0.048555040003890985,0.04981135922077488,0.03884403200311279,0.10322026256289346,0.09711008000778197,0.07768806400622558,0.10196558400817107,0.0043480222272391875,0.004046253333657582,0.009711008000778197
2019-09-23,0.20033041008309133,0.15243669979053304,0.06411770465416236,0.03799567683209621,0.04749459604012027,0.04300135104012087,0.03799567683209621,0.12103139705181906,0.10212335934256951,0.07599135366419242,0.09973865168425257,0.004286320773578781,0.003957883003343355,0.009498919208024053
2019-09-30,0.1903851225149947,0.14271388711360233,0.06422124920112104,0.038057036563627286,0.04757129570453411,0.04918148256693396,0.038057036563627286,0.1283725406144413,0.10748514397106394,0.07611407312725457,0.09989972097952164,0.004462877296326422,0.003964274642044509,0.009514259140906822
2019-10-07,0.17345334927345038,0.1427984243620304,0.06425929096291369,0.03981156071919577,0.04759947478734348,0.04806806502151373,0.03807957982987478,0.14046687114102277,0.1116408734176393,0.07615915965974956,0.0999588970534213,0.004217935915430877,0.003966622898945289,0.009519894957468696
2019-10-14,0.16649384363923642,0.141756249558545,0.06379031230134524,0.03780166654894533,0.04725208318618167,0.043565228051958574,0.03780166654894533,0.14576619801557666,0.12301267940922758,0.07560333309789066,0.0992293746909815,0.004539274715081209,0.003937673598848472,0.009450416637236333
2019-10-21,0.15939828970836792,0.14660071511897893,0.06597032180354052,0.040022757856251374,0.048866905039659646,0.04398021453569369,0.039093524031727715,0.13603738038296226,0.12085157359238695,0.07818704806345543,0.10262050058328526,0.0045251461891200745,0.0040722420866383035,0.009773381007931929
2019-10-28,0.14933013698446743,0.1482596641769975,0.06671684887964888,0.04237414267378099,0.049419888058999176,0.04447789925309926,0.03953591044719934,0.13351457064112807,0.12470434446714261,0.07907182089439868,0.10378176492389826,0.004810706982523374,0.004118324004916597,0.009883977611799835
2019-11-04,0.16511064720925536,0.14960283458002363,0.06732127556101063,0.039894089221339635,0.04986761152667454,0.04488085037400709,0.039894089221339635,0.1212371843436432,0.11885573571268668,0.07978817844267927,0.10472198420601654,0.004696363002099321,0.004155634293889545,0.009973522305334909
2019-11-11,0.1494741480833773,0.1494741480833773,0.06726336663751979,0.04063854569460113,0.04982471602779244,0.044842244425013195,0.03985977282223395,0.12815926237887387,0.12540303665699146,0.0813260755669613,0.10463190365836413,0.004985777090352958,0.004152059668982703,0.009964943205558487
2019-11-18,0.15310395116925196,0.15310395116925196,0.06889677802616338,0.04288197220564007,0.051034650389750656,0.045931185350775595,0.04082772031180053,0.11138746953100453,0.11888861512621635,0.08751041483170706,0.10717276581847639,0.004800708459532067,0.004252887532479222,0.010206930077950132
2019-11-25,0.15435497514040808,0.15435497514040808,0.07257022026158472,0.04639296591755124,0.05145165838013603,0.046306492542122435,0.041161326704108825,0.10393287006847886,0.11804038360272025,0.08398944397400167,0.10804848259828567,0.004818235795822263,0.0042876381983446695,0.010290331676027206
2019-12-02,0.15483774188301783,0.15483774188301783,0.06967698384735803,0.046212777024189224,0.05161258062767261,0.046451322564905355,0.04129006450213809,0.10661436672993549,0.1177123596781945,0.08258012900427618,0.10838641931811249,0.005163948426008421,0.004301048385639384,0.010322516125534522
2019-12-09,0.15634269026292158,0.15634269026292158,0.07439912209567211,0.046908569377647785,0.05211423008764053,0.04690280707887648,0.04169138407011242,0.10422846017528106,0.10865884474487228,0.08338276814022484,0.10943988318404511,0.004822851994952698,0.004342852507303377,0.010422846017528105
