week,pnl_gross,turnover,cost,pnl_net,gross_exposure,long_gross,short_gross,net_exposure,n_assets
2019-04-01,-0.032312460014450914,0.4099999999999999,0.00041,-0.032722460014450915,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-04-08,0.06072604251685969,0.4500000000000002,0.0004500000000000002,0.06027604251685969,0.8200000000000001,0.615,0.20499999999999996,0.41000000000000003,11
2019-04-15,-0.08888063730385731,0.32653846153846156,0.00032653846153846155,-0.08920717576539577,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-04-22,0.030314608920507805,0.275,0.000275,0.030039608920507804,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-04-29,0.05681219983563363,0.4500000000000001,0.0004500000000000001,0.05636219983563363,0.69,0.55,0.13999999999999999,0.41000000000000003,10
2019-05-06,0.08899032246080113,0.4437500000000001,0.0004437500000000001,0.08854657246080112,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-05-13,0.027402619442138686,0.45000000000000007,0.0004500000000000001,0.026952619442138687,0.82,0.615,0.20499999999999996,0.41000000000000003,12
2019-05-20,0.07168792191275043,0.41500000000000004,0.00041500000000000006,0.07127292191275043,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-05-27,-0.07752483106582754,0.065,6.500000000000001e-05,-0.07758983106582754,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-06-03,0.0924894450916993,0.4500000000000001,0.0004500000000000001,0.0920394450916993,0.8200000000000001,0.615,0.20500000000000002,0.41,11
2019-06-10,-0.002260122948889127,0.45,0.00045,-0.0027101229488891267,0.686719869622578,0.548359934811289,0.13835993481128903,0.4099999999999999,13
2019-06-17,-0.10477310541945356,0.45000000000000007,0.0004500000000000001,-0.10522310541945357,0.8070670962306575,0.6085335481153287,0.19853354811532875,0.4099999999999999,15
2019-06-24,-0.012104745837835416,0.44999999999999996,0.00045,-0.012554745837835416,0.8148045231543204,0.6124022615771602,0.20240226157716018,0.41,15
2019-07-01,-0.12620881087018526,0.4144313329160927,0.00041443133291609263,-0.12662324220310137,0.8200000000000001,0.615,0.205,0.41000000000000003,8
2019-07-08,0.02328989722971587,0.22499999999999995,0.00022499999999999997,0.023064897229715872,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-07-15,-0.039648823486553506,0.265,0.00026500000000000004,-0.03991382348655351,0.8200000000000001,0.615,0.205,0.41000000000000003,8
2019-07-22,-0.05339020246125395,0.45000000000000007,0.0004500000000000001,-0.05384020246125395,0.8200000000000001,0.615,0.205,0.41000000000000003,14
2019-07-29,-0.027425647450680886,0.44999999999999996,0.00045,-0.027875647450680885,0.8174156177139247,0.6137078088569623,0.2037078088569623,0.41000000000000003,14
2019-08-05,-0.03206970336748055,0.23023976408550445,0.00023023976408550445,-0.032299943131566054,0.82,0.615,0.205,0.41000000000000003,8
2019-08-12,0.036319061735082946,0.45,0.00045,0.03586906173508295,0.82,0.615,0.20500000000000002,0.41,11
2019-08-19,-0.041533185982762,0.4071739130434782,0.0004071739130434782,-0.041940359895805475,0.82,0.615,0.205,0.41000000000000003,8
2019-08-26,0.02529866546990124,0.265,0.00026500000000000004,0.02503366546990124,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-09-02,-0.017426553060325874,0.2899999999999999,0.00028999999999999995,-0.017716553060325872,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-09-09,0.013811319015013552,0.41000000000000003,0.00041000000000000005,0.013401319015013551,0.82,0.615,0.205,0.41000000000000003,8
2019-09-16,-0.06066989437268508,0.32999999999999996,0.00033,-0.060999894372685076,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-09-23,0.06216550166378131,0.45,0.00045,0.061715501663781314,0.8200000000000001,0.615,0.205,0.41000000000000003,11
2019-09-30,0.04373522632758098,0.3246774193548388,0.00032467741935483877,0.04341054890822614,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-10-07,0.031046651120417705,0.21499999999999997,0.00021499999999999994,0.030831651120417705,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-10-14,-0.03007552557085079,0.345,0.000345,-0.03042052557085079,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-10-21,-0.02326644645908361,0.45,0.00045,-0.02371644645908361,0.8199999999999998,0.615,0.205,0.41000000000000003,14
2019-10-28,0.0935217429733272,0.43528301886792453,0.00043528301886792454,0.09308645995445927,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-11-04,-0.0019665216210120813,0.02499999999999994,2.499999999999994e-05,-0.001991521621012081,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-11-11,-0.09541767092035323,0.42499999999999993,0.0004249999999999999,-0.09584267092035323,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-11-18,0.11929795336488629,0.22499999999999995,0.00022499999999999997,0.11907295336488628,0.8199999999999998,0.615,0.205,0.41000000000000003,8
2019-11-25,-0.003917873225566373,0.45,0.00045,-0.004367873225566373,0.7568918918918919,0.583445945945946,0.17344594594594592,0.4100000000000001,12
2019-12-02,0.010321839356355817,0.43479729681286355,0.0004347972968128635,0.009887042059542954,0.8199999999999998,0.615,0.205,0.41000000000000003,10
2019-12-09,0.023397834541915893,0.26533203495997676,0.00026533203495997677,0.023132502506955917,0.8199999999999998,0.615,0.205,0.41000000000000003,10
2019-12-16,-0.013935453004700312,0.44999999999999996,0.00045,-0.014385453004700312,0.8199999999999998,0.615,0.205,0.41000000000000003,14
2019-12-23,0.01526350220514186,0.45,0.00045,0.01481350220514186,0.7520350590473618,0.5810175295236809,0.17101752952368085,0.41000000000000003,16
2019-12-30,0.08482457032663228,0.45000000000000007,0.0004500000000000001,0.08437457032663227,0.8160036935428888,0.6130018467714443,0.20300184677144445,0.40999999999999986,17
2020-01-06,0.09322313181484045,0.45000000000000007,0.0004500000000000001,0.09277313181484044,0.7682529493059336,0.5891264746529667,0.17912647465296677,0.41,18
2020-01-13,-0.010165444941421967,0.44121141619517856,0.0004412114161951786,-0.010606656357617147,0.82,0.615,0.205,0.41000000000000003,10
2020-01-20,0.03806788191413043,0.45,0.00045,0.03761788191413043,0.819999875487409,0.6149999377437045,0.20499993774370456,0.41,14
2020-01-27,0.15744932065659803,0.21405267614879725,0.00021405267614879727,0.15723526798044923,0.8200000000000001,0.6149999999999999,0.205,0.4099999999999999,10
2020-02-03,0.16011793639304733,0.45,0.00045,0.15966793639304733,0.8200000000000002,0.615,0.205,0.41000000000000003,14
2020-02-10,-0.010181040879258888,0.4338970884598471,0.00043389708845984707,-0.010614937967718736,0.82,0.615,0.205,0.41000000000000003,10
2020-02-17,-0.09770730119984178,0.45000000000000007,0.0004500000000000001,-0.09815730119984178,0.8199999999766562,0.6149999999883281,0.2049999999883281,0.41000000000000003,15
2020-02-24,-0.051849075387859864,0.3693084123006433,0.00036930841230064333,-0.05221838380016051,0.8200000000000001,0.615,0.20500000000000002,0.41,10
2020-03-02,-0.23968872197751484,0.41983541418549714,0.0004198354141854972,-0.24010855739170034,0.8200000000000001,0.615,0.205,0.41000000000000003,10
