candidate,is_sharpe,is_ann_return,is_max_dd,oos_sharpe,oos_ann_return,oos_max_dd
defensive_a,0.7026500677469272,0.26122231033510535,-0.4291844301294465,-0.24837397495471444,-0.06058172503495817,-0.3020431588138872
defensive_b,0.9505635347254254,0.346354556584865,-0.42247198552875465,-0.2815212974179369,-0.07288502695084703,-0.3154736910972489
core_alpha_a,0.8889184573433131,0.3705172168265533,-0.5096291071249734,-0.20588846046986223,-0.06883906086473589,-0.3324243195791631
core_alpha_b,1.1384375671707343,0.47908286773046016,-0.44648305151962864,-0.047902031450069486,-0.01578164008610985,-0.32743121728447744
balanced_a,0.9901795843798508,0.48635748791375516,-0.572068092819743,-0.23513359784636953,-0.10039796675328874,-0.4226176255446209
balanced_b,1.1173397502148503,0.554283007143723,-0.5323564392834256,-0.0024763376877526572,-0.0011350135384596005,-0.4318305912403839
mispricing_a,1.2167802803783698,0.6348537648421286,-0.4690976815415453,0.5956193291080958,0.23723433754318973,-0.1993987839018414
mispricing_b,1.3157334570340014,0.7510095686246155,-0.4249668288065225,0.6585470165631542,0.2876878950729678,-0.23399208991920728
priced_a,0.9552009783022262,0.6323295264124538,-0.5526988904761561,-0.3229436024702673,-0.18959208480310458,-0.5687926297329857
priced_b,0.9585031486608928,0.6729233517243662,-0.5968853973427768,-0.25559049354317204,-0.15725839537843908,-0.5670771934050395
return_a,0.9028156466028181,0.6569029665867456,-0.600537405013908,-0.29658166314179835,-0.19679679713051343,-0.5861306872420948
return_b,0.9151972333209037,0.6675087569365575,-0.6067432375384105,-0.3926298845200765,-0.25781560311003765,-0.6170748240086008
