Variant,VolC,MAXRET,CRASH8,BETA26,TVLC,SKEW52,NEWC,RMOM1w,RMOM2w,SMBC,NetRel,MomC,NetMom,FunC
Sharpe Optimized,0.17917136140056888,0.1503142839627209,0.0691910875980477,0.030787608904203026,0.07238052883227078,0.036419435855895986,0.030472598670896175,0.12123401118200659,0.12437646755212892,0.06933359288852893,0.09662258502205257,0.004015492380934399,0.0037872713797454977,0.011893674369999633
Return Optimized,0.22426901849111147,0.18279101354114569,0.06474778868305704,0.02962688596740102,0.06681435591602745,0.03418413721581365,0.028530632217217494,0.10476830919638895,0.10681172167164493,0.05932426335601535,0.0793998064531937,0.003930023293346384,0.0035155781042849094,0.011286465893352039
Balanced,0.13115426154979165,0.1096759516561187,0.16661764573555565,0.07343017217211825,0.17491905923321335,0.08711875019125247,0.07278711352515606,0.04910302412341258,0.05039889372333257,0.027878766819434186,0.03898726857702492,0.0036385262558681244,0.003433265933102925,0.010857300504618505
